role,feature_contract,model,oof_r2,oof_mae,oof_rmse,r2_gap_vs_scientific,healthy_aging_score_included
competition_candidate,competition_proxy_inclusive,additive_elastic_k4_d2_a0p003,0.9807002146476884,1.3529337096156853,1.701476424199776,0.04230762706754121,True
scientific_comparator,scientific_proxy_removed,additive_ridge_k4_d2_a0p3,0.9383925875801472,2.4274974007334804,3.0399481801299326,0.0,False
