training_fraction,training_rows_per_fold,repeat_count,mean_train_r2,mean_oof_adjusted_r2_raw,std_oof_adjusted_r2_raw,mean_oof_r2,std_oof_r2,mean_oof_mae,mean_oof_rmse,mean_generalization_gap_r2,delta_oof_r2_vs_previous_fraction
0.2,1280,5,0.633001272751579,0.6145379003220868,0.001996577484146,0.6174292274855666,0.0019816012809895,0.5637362371520667,0.7082369055339427,0.0159893017570635,
0.4,2560,5,0.6286218562557027,0.6183987133956353,0.0008142364967888,0.6212610808410988,0.0008081289596207,0.5610266183684727,0.7046830671062885,0.0077758827381078,0.0038318533555321
0.6,3840,5,0.6274541900144734,0.619774049337823,0.0004499283720316,0.6226261004741814,0.0004465534873807,0.5600729655482877,0.7034123174359994,0.0052410572941216,0.0013650196330826
0.8,5120,5,0.62645488385786,0.6197496022971964,0.0002599901635412,0.6226018368092815,0.0002580399935434,0.5601214151927036,0.703435012421749,0.0042659885881072,-2.426366489993725e-05
1.0,6400,5,0.6259645582106284,0.6201624354997604,0.0,0.6230115733757466,0.0,0.559852657967001,0.7030530944052009,0.0033688977903954,0.0004097365664651
