contract,model,source_feature_count,engineered_feature_count,transformed_width_max,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,oof_adjusted_r2_raw,oof_adjusted_r2_transformed,oof_r2,oof_mae,oof_rmse,control_adjusted_r2_raw,delta_vs_tuned_elastic,total_fit_seconds
competition,catboost_fixed,62,64,111,0.5884465895049552,0.013754596429670831,0.6021095803488221,0.5997387829700689,0.6052931016461938,0.5735646093106055,0.7193851581913538,0.6199117677866997,-0.017802187437877537,16.400666599998658
competition,lightgbm_fixed,62,64,111,0.5759797803629203,0.010627284672807949,0.5900960354007245,0.5876536563013119,0.5933756770727278,0.5822711438745123,0.7301646306021047,0.6199117677866997,-0.029815732385975124,6.726678399998491
scientific_proxy_removed,catboost_fixed,58,60,103,0.5911943604058425,0.012740467396187952,0.6039500327254809,0.6017932256595229,0.606920778823302,0.5724118783729425,0.7179003393806886,0.6201624354997604,-0.01621240277427949,6.656353600003058
scientific_proxy_removed,lightgbm_fixed,58,60,103,0.5784127664554605,0.011818401059942868,0.5915733797049343,0.5893491719196395,0.5946369623049723,0.5813250197942951,0.729031322679922,0.6201624354997604,-0.028589055794826068,3.757121200000256
