contract,model,raw_feature_count,transformed_width_max,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,fold_r2_mean,fold_r2_std,oof_adjusted_r2_raw,oof_adjusted_r2_transformed,oof_r2,oof_mae,oof_rmse,total_fit_seconds
competition,pls_8,62,1069,0.6002051516654255,0.008697935991521006,0.61570689062524,0.008360680186971758,0.6131134830550493,0.5568949083705521,0.6161122284045413,0.5650529869994714,0.709457287856793,1.029181799996877
competition,elastic_net_fixed,62,1069,0.5995817689391738,0.009464029320807373,0.615107679086623,0.009097068834322035,0.612526399358649,0.5562225153982103,0.6155296951755966,0.5652696579198583,0.7099953693085995,1.5141374999966501
competition,ridge_fixed,62,1069,0.5822211911341113,0.010868904307458925,0.5984202443859468,0.010447470869646272,0.595708282195031,0.5369605535038905,0.5988419347145845,0.5774362599809496,0.7252402171304905,0.5525096999990637
competition,ordinary_least_squares,62,1069,0.4072378977324119,0.10026122081526978,0.43022179413052974,0.09637366878866142,0.42685011485250446,0.3435655644421829,0.43129258177076235,0.640315698924243,0.8635123670193783,7.296277200002805
competition,dummy_mean,62,1069,-0.001957677914400735,0.002333543189991704,-0.001957677914400735,0.002333543189991704,-0.0006970092452296406,-0.0006970092452296406,-0.0006970092452296406,0.9224810859375,1.1454480997916956,0.0032580000024609035
scientific_proxy_removed,pls_8,58,1061,0.6028435159760208,0.009130794066738137,0.6172494422257963,0.008799595782891507,0.6148622197297682,0.5591843307688223,0.6176548177114751,0.5640627555151959,0.7080304348297646,0.9924653000016406
scientific_proxy_removed,elastic_net_fixed,58,1061,0.6010975478408728,0.009351654258913522,0.6155668050173766,0.009012444786107389,0.6131854778127539,0.5572651887159237,0.6159902336930965,0.5650103301950853,0.7095700072092728,1.0975042000009125
scientific_proxy_removed,ridge_fixed,58,1061,0.5841446414427167,0.011077533573614705,0.5992288258056451,0.010675721849243456,0.5967284663168317,0.5384290503058462,0.599652550446551,0.5769704405973182,0.7245071040921419,0.5238739000014903
scientific_proxy_removed,ordinary_least_squares,58,1061,0.40129876353930605,0.11165659181749465,0.4230152561688997,0.10760650906238851,0.41998122846178954,0.3361301434440863,0.4241868902631667,0.6404927224029681,0.8688901808700373,7.033761299999242
scientific_proxy_removed,dummy_mean,58,1061,-0.001957677914400735,0.002333543189991704,-0.001957677914400735,0.002333543189991704,-0.0006970092452296406,-0.0006970092452296406,-0.0006970092452296406,0.9224810859375,1.1454480997916956,0.0032925000014074612
