model,n_knots,degree,alpha,transformed_width,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,total_fit_seconds
spline_k4_d2_a1p0,4,2,1.0,208,0.7904181417688589,0.006363071678166522,0.7906023958255962,0.5796175496157742,0.7269296315021299,0.0747073000020464
spline_k4_d2_a3p0,4,2,3.0,208,0.7903909783945815,0.006821066283827197,0.7905766359789776,0.5796820819673991,0.7269743431405917,0.0741470000029949
spline_k3_d2_a1p0,3,2,1.0,172,0.7903582096579135,0.006518238588383199,0.7905522073611901,0.5801675349481532,0.7270167416107911,0.06590349999896716
spline_k3_d2_a0p3,3,2,0.3,172,0.7903566303338901,0.0063698630108359085,0.7905494071337431,0.580153128766202,0.7270216015460623,0.06841940000231261
spline_k4_d2_a0p3,4,2,0.3,208,0.790364911256366,0.006170248425946691,0.7905486950034196,0.5796653843980241,0.7270228374787975,0.07152260000293609
spline_k3_d2_a3p0,3,2,3.0,172,0.7903513885673539,0.00679759992892664,0.7905475143968648,0.5801875385835172,0.7270248864675063,0.06805159999930765
spline_k3_d2_a10p0,3,2,10.0,172,0.7898795721248906,0.0075252278458977405,0.7900816114308794,0.5807963152505831,0.7278330289361006,0.06658510000124807
spline_k4_d2_a10p0,4,2,10.0,208,0.7894746678396118,0.007948646159505248,0.7896652153416873,0.5808918244258209,0.7285545395341531,0.0791821000057098
