contract,model,feature_count,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse
full_non_sleep,elastic_alpha_0p001_l1_0p9,54,0.7781643437580847,0.006807814081694442,0.7783725670589594,0.5968767060535799,0.7478565058022217
full_non_sleep,ridge_alpha_3,54,0.777434733421039,0.006486950839404412,0.7776402913439948,0.5981715206087188,0.7490909774020692
proxy_removed,elastic_alpha_0p001_l1_0p9,50,0.676591068136938,0.01939669523835383,0.6769604021241353,0.7195633069787575,0.9028890758204559
proxy_removed,ridge_alpha_3,50,0.6754572272482797,0.01928392751659469,0.6758236032206575,0.7208247089964146,0.9044763454728965
