contract,model,penalty,n_knots,degree,alpha,l1_ratio,source_feature_count,spline_feature_count,engineered_feature_count,transformed_width_max,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,control_oof_r2,delta_vs_additive_control_r2,total_fit_seconds,material_improvement
competition_proxy_inclusive,additive_elastic_k6_d2_a0p001,elastic,6,2,0.001,0.9,60,12,62,165,0.9807926121832926,0.0007819054588368337,0.9807958453527911,1.351314363463065,1.6972557696720543,0.9807002146476884,9.563070510265614e-05,1.3452273000002606,False
scientific_proxy_removed,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,59,11,61,137,0.9383381156516719,0.002253896884423911,0.9383925875801471,2.4274974007334804,3.0399481801299326,0.9383925875801471,0.0,0.04663289999962217,False
