fold,model,family,component_count,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,transform_seconds,fit_seconds
0,pls_2,pls,2,60,103,0.5400371278235181,0.5221048521051368,0.5394610941701975,0.62340540556644,0.7853475825842988,0.1934897000028286,0.014876299999741605
0,pls_4,pls,4,60,103,0.5803513736393753,0.5639908034108909,0.5792989632911355,0.5996573548522638,0.7501419025069277,0.1934897000028286,0.022647300000244286
0,pls_6,pls,6,60,103,0.6046172765512442,0.5892027454226377,0.6031280760862772,0.5816652196523594,0.7281307409762497,0.1934897000028286,0.03165429999717162
0,pls_8,pls,8,60,103,0.608006544381908,0.5927241484513781,0.6060354899224834,0.5801680630838364,0.7250032124156414,0.1934897000028286,0.03593469999759691
0,pls_12,pls,12,60,103,0.6095805679312152,0.5943595374412041,0.6066284361197309,0.5798918481818646,0.7235461472603483,0.1934897000028286,0.05207019999943441
0,pls_16,pls,16,60,103,0.6088887965972576,0.5936407964645971,0.6049356827283733,0.5800528415577236,0.7241868773586746,0.1934897000028286,0.06805000000167638
0,pls_24,pls,24,60,103,0.6091971429776503,0.5939611641463696,0.6032420518230239,0.5796258403795388,0.723901351874525,0.1934897000028286,0.09480039999834844
0,pls_32,pls,32,60,103,0.6087212727789961,0.5934667415033235,0.6007308967285353,0.5799826073495656,0.7243419554560645,0.1934897000028286,0.1359112999998615
0,pcr_8,pcr,8,60,103,0.504573241211298,0.48525835782772286,0.5020820947183315,0.6471878364293456,0.8150612619209475,0.1934897000028286,0.020815599997149548
0,pcr_16,pcr,16,60,103,0.5251980319985035,0.5066872340257356,0.5203990228462458,0.6339587404361231,0.7979152726429051,0.1934897000028286,0.012833100001444109
0,pcr_24,pcr,24,60,103,0.5362225977813548,0.5181416074414467,0.5291555135570707,0.6257987207354876,0.7885973520266902,0.1934897000028286,0.012627799998881528
0,pcr_32,pcr,32,60,103,0.5351493912480194,0.5170265604974549,0.5256565900482342,0.6272774097763077,0.7895092537058758,0.1934897000028286,0.015975000002072193
0,pcr_48,pcr,48,60,103,0.5725720184935379,0.5559081595654107,0.5593440732244791,0.604892443757732,0.7570629584186567,0.1934897000028286,0.014875800003210315
0,pcr_64,pcr,64,60,103,0.5841432883473634,0.5679305510509642,0.5668046371774815,0.5951869292868192,0.7467450977213108,0.1934897000028286,0.01850629999898956
0,pcr_80,pcr,80,60,103,0.6105064979007542,0.5953215660450331,0.5899933443998064,0.5797419835056614,0.7226876465060907,0.1934897000028286,0.021011900000303285
1,pls_2,pls,2,60,103,0.5501646116548997,0.5326271696141551,0.5496012611372478,0.6092213442127868,0.7662116024972765,0.09283440000217524,0.015516499999648659
1,pls_4,pls,4,60,103,0.5989497228244445,0.583314234435534,0.597943954104255,0.5726434182182966,0.7234713299823978,0.09283440000217524,0.025013099999341648
1,pls_6,pls,6,60,103,0.6189322143402227,0.6040757704548513,0.6174969307784157,0.5563023231828593,0.7052174226502792,0.09283440000217524,0.0304930999991484
1,pls_8,pls,8,60,103,0.6229123610430878,0.6082110885691341,0.621016257264549,0.5529472715855889,0.701524855771784,0.09283440000217524,0.04195350000009057
1,pls_12,pls,12,60,103,0.6243444314173572,0.6096989901470786,0.6215039356246718,0.5497590639910123,0.7001914938406126,0.09283440000217524,0.05597900000066147
1,pls_16,pls,16,60,103,0.6248760477098525,0.6102513322209578,0.6210845232394531,0.5495592406897322,0.6996958736187013,0.09283440000217524,0.07223140000132844
1,pls_24,pls,24,60,103,0.6241817315075457,0.6095299471608614,0.6184549769400417,0.5500763961342104,0.7003431071401685,0.09283440000217524,0.11119759999928647
