left,right,correlation,abs_correlation
Daily_Steps,Outdoor_Time_Hours,0.3888984750363591,0.3888984750363591
Focus_Concentration_Score,Health_Score,0.3786566558544965,0.3786566558544965
Age,Cholesterol_Level,0.37836643581137863,0.37836643581137863
Mood_Score,Focus_Concentration_Score,0.37506998066558744,0.37506998066558744
Diastolic_BP,Healthy_Aging_Score,-0.37172970780693104,0.37172970780693104
Exercise_Frequency_Per_Week,Productivity_Score,0.3703611968164182,0.3703611968164182
Stress_Level,Healthy_Aging_Score,-0.3667510420695879,0.3667510420695879
Age,Healthy_Aging_Score,-0.3646969452123736,0.3646969452123736
Energy_Level_Score,Focus_Concentration_Score,0.36360598399891775,0.36360598399891775
Water_Intake_Liters,Energy_Level_Score,0.36307628825600297,0.36307628825600297
Water_Intake_Liters,Health_Score,0.3614952852124126,0.3614952852124126
Exercise_Frequency_Per_Week,Fatigue_Level_Score,-0.3614361910071446,0.3614361910071446
Social_Interaction_Score,Depression_Risk_Score,-0.3592447244307982,0.3592447244307982
Cholesterol_Level,Healthy_Aging_Score,-0.35610270297871266,0.35610270297871266
Sleep_Quality_Score,Life_Satisfaction_Score,0.3482506521440351,0.3482506521440351
Exercise_Frequency_Per_Week,Life_Satisfaction_Score,0.3467073271094719,0.3467073271094719
Anxiety_Score,Focus_Concentration_Score,-0.3464523087260714,0.3464523087260714
Daily_Steps,Immune_Health_Score,0.34520618386648555,0.34520618386648555
Immune_Health_Score,Health_Score,0.34511972190213003,0.34511972190213003
Water_Intake_Liters,Protein_Intake_Grams,0.34041663038855297,0.34041663038855297
Immune_Health_Score,Healthy_Aging_Score,0.3305701540106425,0.3305701540106425
Productivity_Score,Focus_Concentration_Score,0.3293433749462815,0.3293433749462815
Screen_Time_Before_Bed_Hours,Focus_Concentration_Score,-0.32929062530021985,0.32929062530021985
Focus_Concentration_Score,Healthy_Aging_Score,0.325809094277782,0.325809094277782
Daily_Steps,Resting_Heart_Rate,-0.3252688625988754,0.3252688625988754
BMI,Daily_Calorie_Intake,0.31993492009516133,0.31993492009516133
