contract,fold,family,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width,r2,mae,rmse,fit_seconds
competition_proxy_inclusive,0,ridge,ridge_a0p01,0.01,,60,62,105,0.9790855719051177,1.4046267274513111,1.7590679829846751,0.00803859999996348
competition_proxy_inclusive,0,ridge,ridge_a0p1,0.1,,60,62,105,0.9790842484095087,1.4046638781194283,1.7591236403019632,0.0075475000001006265
competition_proxy_inclusive,0,ridge,ridge_a0p3,0.3,,60,62,105,0.9790811690829166,1.404751344038241,1.7592531292380624,0.009085099999992963
competition_proxy_inclusive,0,ridge,ridge_a1,1.0,,60,62,105,0.9790689627432962,1.4050999639973958,1.7597663249705304,0.0073400999999648775
competition_proxy_inclusive,0,ridge,ridge_a3,3.0,,60,62,105,0.9790232884914991,1.406338110303965,1.7616852984377391,0.007284600000048158
competition_proxy_inclusive,0,ridge,ridge_a10,10.0,,60,62,105,0.9787734096297526,1.4135476469428443,1.772147012274959,0.009716199999957098
competition_proxy_inclusive,0,ridge,ridge_a30,30.0,,60,62,105,0.9777377202016727,1.4467867102969654,1.8148655035457588,0.009634000000005472
competition_proxy_inclusive,0,elastic_net,elastic_a0p0001_l1_0p1,0.0001,0.1,60,62,105,0.9790769580384889,1.4048597567321832,1.7594301926773117,0.3314321000000291
competition_proxy_inclusive,0,elastic_net,elastic_a0p0001_l1_0p3,0.0001,0.3,60,62,105,0.9790797890754428,1.4047418920725394,1.7593111569174682,0.2700665999998364
competition_proxy_inclusive,0,elastic_net,elastic_a0p0001_l1_0p5,0.0001,0.5,60,62,105,0.9790825464169118,1.4046231931621564,1.7591952120667569,0.22142570000005435
competition_proxy_inclusive,0,elastic_net,elastic_a0p0001_l1_0p7,0.0001,0.7,60,62,105,0.9790850849072676,1.4045186598008166,1.759088463041194,0.1986768999997821
competition_proxy_inclusive,0,elastic_net,elastic_a0p0001_l1_0p9,0.0001,0.9,60,62,105,0.9790873951370034,1.4044221709993367,1.7589913072390726,0.18404439999994793
competition_proxy_inclusive,0,elastic_net,elastic_a0p0003_l1_0p1,0.0003,0.1,60,62,105,0.9790547406376414,1.4054470103797367,1.7603640816019261,0.23908899999992173
competition_proxy_inclusive,0,elastic_net,elastic_a0p0003_l1_0p3,0.0003,0.3,60,62,105,0.979063732555545,1.4051287194852011,1.75998617392678,0.1839330999998765
competition_proxy_inclusive,0,elastic_net,elastic_a0p0003_l1_0p5,0.0003,0.5,60,62,105,0.9790721688692068,1.4048097366185275,1.7596315431053549,0.15319429999999556
competition_proxy_inclusive,0,elastic_net,elastic_a0p0003_l1_0p7,0.0003,0.7,60,62,105,0.9790794266691065,1.4044944674939337,1.759326395357269,0.13532850000001417
competition_proxy_inclusive,0,elastic_net,elastic_a0p0003_l1_0p9,0.0003,0.9,60,62,105,0.9790856541029298,1.4041768692646075,1.7590645262398612,0.12529369999992923
competition_proxy_inclusive,0,elastic_net,elastic_a0p001_l1_0p1,0.001,0.1,60,62,105,0.9789395369065709,1.4085383307477506,1.7651986460416653,0.15052189999983057
competition_proxy_inclusive,0,elastic_net,elastic_a0p001_l1_0p3,0.001,0.3,60,62,105,0.9789818779716548,1.4070921571581863,1.7634233290949037,0.09790190000012444
competition_proxy_inclusive,0,elastic_net,elastic_a0p001_l1_0p5,0.001,0.5,60,62,105,0.9790182220643598,1.405808320691137,1.7618980322434035,0.07553519999987657
competition_proxy_inclusive,0,elastic_net,elastic_a0p001_l1_0p7,0.001,0.7,60,62,105,0.9790485721956487,1.404816431213837,1.7606232787828495,0.06583049999994728
competition_proxy_inclusive,0,elastic_net,elastic_a0p001_l1_0p9,0.001,0.9,60,62,105,0.9790759048975728,1.4039755843945017,1.7594744717217443,0.05196399999999812
competition_proxy_inclusive,0,elastic_net,elastic_a0p003_l1_0p1,0.003,0.1,60,62,105,0.9784222567790648,1.424259903463615,1.7867452560474582,0.07506660000012744
