contract,fold,model,source_feature_count,engineered_feature_count,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
competition_proxy_inclusive,0,dummy_mean,60,62,105,-6.339177893721626e-08,9.891041328125,12.163530295036933,0.18937469999991663,0.0027360999999928026
competition_proxy_inclusive,0,ordinary_least_squares,60,62,105,0.9790857165383993,1.404622968024528,1.7590619005755894,0.18937469999991663,0.04025610000007873
competition_proxy_inclusive,0,ridge_fixed,60,62,105,0.9787734096297526,1.4135476469428443,1.772147012274959,0.18937469999991663,0.011564300000145522
competition_proxy_inclusive,0,elastic_net_fixed,60,62,105,0.9790182220643598,1.405808320691137,1.7618980322434035,0.18937469999991663,0.10500419999993937
competition_proxy_inclusive,0,pls_16,60,62,105,0.9770819626652357,1.4605024589759088,1.8414008473958157,0.18937469999991663,0.07116259999997965
competition_proxy_inclusive,0,extra_trees_fixed,60,62,105,0.9684964990293035,1.7140661197916653,2.1589323656140276,0.18937469999991663,2.867251699999997
competition_proxy_inclusive,1,dummy_mean,60,62,105,-0.000509839230308895,9.911248046875,12.207146966051537,0.11742100000014943,0.003476699999964694
competition_proxy_inclusive,1,ordinary_least_squares,60,62,105,0.9797568266795185,1.3586790596385097,1.736372056142858,0.11742100000014943,0.05692299999986972
competition_proxy_inclusive,1,ridge_fixed,60,62,105,0.9795402020719888,1.3653311136821162,1.7456378954334806,0.11742100000014943,0.015311800000063158
competition_proxy_inclusive,1,elastic_net_fixed,60,62,105,0.9797204185063618,1.3589630579301004,1.7379328226768063,0.11742100000014943,0.14806750000002467
competition_proxy_inclusive,1,pls_16,60,62,105,0.9783510526759925,1.4047346382201755,1.795650799040467,0.11742100000014943,0.07806010000012975
competition_proxy_inclusive,1,extra_trees_fixed,60,62,105,0.9684867104699311,1.7187594010416682,2.166458434179118,0.11742100000014943,2.942706600000065
competition_proxy_inclusive,2,dummy_mean,60,62,105,-0.0006914499090349135,9.825007890624999,12.293096569451862,0.11252110000009452,0.002782199999955992
competition_proxy_inclusive,2,ordinary_least_squares,60,62,105,0.9810810313898526,1.3399083837827226,1.6902849594684142,0.11252110000009452,0.039939700000104494
competition_proxy_inclusive,2,ridge_fixed,60,62,105,0.9811596454967114,1.3380354343798104,1.6867694779367712,0.11252110000009452,0.010931399999890345
competition_proxy_inclusive,2,elastic_net_fixed,60,62,105,0.9811789713847969,1.3371310012806958,1.6859041364156495,0.11252110000009452,0.2318720000000667
competition_proxy_inclusive,2,pls_16,60,62,105,0.9799643984223438,1.3758633408692722,1.7394517725131124,0.11252110000009452,0.060063099999979386
competition_proxy_inclusive,2,extra_trees_fixed,60,62,105,0.9699413817917151,1.6697520312500007,2.1305694961414563,0.11252110000009452,2.7607051999998475
competition_proxy_inclusive,3,dummy_mean,60,62,105,-0.0007580405152824987,10.08329630859375,12.546164655103906,0.10503579999999602,0.0022897999999713647
