contract,fold,model,penalty,n_knots,degree,alpha,l1_ratio,source_feature_count,spline_feature_count,engineered_feature_count,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
competition_proxy_inclusive,0,additive_elastic_k4_d2_a0p001,elastic,4,2,0.001,0.9,60,12,62,141,0.980403306182297,1.3726439757607671,1.7027505568186858,0.19340599999986807,0.9921866999998201
competition_proxy_inclusive,0,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9802897943283527,1.376357813981398,1.7076749407450922,0.19340599999986807,0.13143739999986792
competition_proxy_inclusive,0,additive_elastic_k4_d2_a0p005,elastic,4,2,0.005,0.9,60,12,62,141,0.9800969074613792,1.381448440818788,1.716010371998136,0.19340599999986807,0.06589789999998175
competition_proxy_inclusive,0,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.9795326376852943,1.4001602855866606,1.7401655478521185,0.19340599999986807,0.04242840000006254
competition_proxy_inclusive,0,additive_elastic_k5_d2_a0p001,elastic,5,2,0.001,0.9,60,12,62,153,0.9804545940466772,1.372181546443916,1.7005209038227715,0.07809910000014497,0.2667431999998371
competition_proxy_inclusive,0,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,12,62,153,0.9803933672452441,1.3735214033024943,1.7031822976395625,0.07809910000014497,0.06997819999969579
competition_proxy_inclusive,0,additive_elastic_k5_d2_a0p005,elastic,5,2,0.005,0.9,60,12,62,153,0.9801975814304097,1.378709715532022,1.7116649018184857,0.07809910000014497,0.1340915999999197
competition_proxy_inclusive,0,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,12,62,153,0.9796209007886679,1.3985959596118063,1.7364093638700586,0.07809910000014497,0.050653199999942444
competition_proxy_inclusive,0,additive_elastic_k6_d2_a0p001,elastic,6,2,0.001,0.9,60,12,62,165,0.9804828217254182,1.3695518564677605,1.6992925051503227,0.08027869999978066,0.14981029999989914
competition_proxy_inclusive,0,additive_elastic_k6_d2_a0p003,elastic,6,2,0.003,0.9,60,12,62,165,0.9804213986046427,1.3714711464117386,1.701964352872265,0.08027869999978066,0.0772106000003987
competition_proxy_inclusive,0,additive_elastic_k6_d2_a0p005,elastic,6,2,0.005,0.9,60,12,62,165,0.9802793572654614,1.376607959586861,1.7081270098971415,0.08027869999978066,0.07441519999974844
competition_proxy_inclusive,0,additive_elastic_k6_d2_a0p01,elastic,6,2,0.01,0.9,60,12,62,165,0.9796350902317283,1.3995629241483027,1.7358047499993317,0.08027869999978066,0.10558179999998174
competition_proxy_inclusive,1,additive_elastic_k4_d2_a0p001,elastic,4,2,0.001,0.9,60,12,62,141,0.9805715099393585,1.3392085721510165,1.7010732531951547,0.09935949999999139,1.1129823000001124
competition_proxy_inclusive,1,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9805669074834747,1.341026467385599,1.701274726674811,0.09935949999999139,0.25473490000013044
competition_proxy_inclusive,1,additive_elastic_k4_d2_a0p005,elastic,4,2,0.005,0.9,60,12,62,141,0.9804370159781718,1.3463892474551842,1.7069509488826795,0.09935949999999139,0.15869299999985742
competition_proxy_inclusive,1,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.9799825617834834,1.3633495573156589,1.726663623592995,0.09935949999999139,0.041473299999779556
competition_proxy_inclusive,1,additive_elastic_k5_d2_a0p001,elastic,5,2,0.001,0.9,60,12,62,153,0.9806095321175365,1.336263721291527,1.6994079105563977,0.0770940000002156,0.393016500000158
competition_proxy_inclusive,1,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,12,62,153,0.9805705592578555,1.338473009473887,1.7011148714343827,0.0770940000002156,0.06268839999984266
competition_proxy_inclusive,1,additive_elastic_k5_d2_a0p005,elastic,5,2,0.005,0.9,60,12,62,153,0.9804376031905406,1.3428943863866811,1.7069253303412804,0.0770940000002156,0.1187646999997014
competition_proxy_inclusive,1,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,12,62,153,0.9798831022148643,1.3612248695285871,1.7309478987637779,0.0770940000002156,0.05238360000021203
competition_proxy_inclusive,1,additive_elastic_k6_d2_a0p001,elastic,6,2,0.001,0.9,60,12,62,165,0.9805750396327236,1.3402770564602577,1.7009187239525467,0.08355439999968439,0.17479180000009364
competition_proxy_inclusive,1,additive_elastic_k6_d2_a0p003,elastic,6,2,0.003,0.9,60,12,62,165,0.9805084431443651,1.3434322418759603,1.7038319420444226,0.08355439999968439,0.08509249999997337
competition_proxy_inclusive,1,additive_elastic_k6_d2_a0p005,elastic,6,2,0.005,0.9,60,12,62,165,0.9803588458963058,1.3485999990545219,1.7103578797473666,0.08355439999968439,0.07104819999995016
competition_proxy_inclusive,1,additive_elastic_k6_d2_a0p01,elastic,6,2,0.01,0.9,60,12,62,165,0.979728108946659,1.3693222044281088,1.7376032612414818,0.08355439999968439,0.11229660000026342
competition_proxy_inclusive,2,additive_elastic_k4_d2_a0p001,elastic,4,2,0.001,0.9,60,12,62,141,0.9819261317952283,1.3131778113155956,1.652101609324222,0.08620139999993626,0.3060970000001362
competition_proxy_inclusive,2,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9819190543119392,1.3128203780096144,1.6524250480299119,0.08620139999993626,0.3823422999998911
competition_proxy_inclusive,2,additive_elastic_k4_d2_a0p005,elastic,4,2,0.005,0.9,60,12,62,141,0.9818161825027325,1.314969698878814,1.6571191291731098,0.08620139999993626,0.16310070000008636
competition_proxy_inclusive,2,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.98136855611154,1.329334637030368,1.677391566498853,0.08620139999993626,0.04840280000007624
competition_proxy_inclusive,2,additive_elastic_k5_d2_a0p001,elastic,5,2,0.001,0.9,60,12,62,153,0.9820253238835629,1.310996711883655,1.6475618818789972,0.10324309999987236,0.37894530000039595
competition_proxy_inclusive,2,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,12,62,153,0.9820075372112709,1.3122240843308746,1.64837684502868,0.10324309999987236,0.08652160000019649
competition_proxy_inclusive,2,additive_elastic_k5_d2_a0p005,elastic,5,2,0.005,0.9,60,12,62,153,0.9818719468600394,1.3161482839572494,1.654576232469065,0.10324309999987236,0.1918191999998271
competition_proxy_inclusive,2,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,12,62,153,0.9814110723983713,1.3311421709472617,1.6754765997016947,0.10324309999987236,0.051982500000121945
competition_proxy_inclusive,2,additive_elastic_k6_d2_a0p001,elastic,6,2,0.001,0.9,60,12,62,165,0.9821388085144606,1.3079974069361924,1.6423526362848637,0.0780217999999877,0.40758999999980006
competition_proxy_inclusive,2,additive_elastic_k6_d2_a0p003,elastic,6,2,0.003,0.9,60,12,62,165,0.982120464432269,1.3093783305363536,1.6431957972870075,0.0780217999999877,0.08540610000000015
competition_proxy_inclusive,2,additive_elastic_k6_d2_a0p005,elastic,6,2,0.005,0.9,60,12,62,165,0.9820125860216717,1.3131064802768082,1.6481455557892315,0.0780217999999877,0.0800888999997369
competition_proxy_inclusive,2,additive_elastic_k6_d2_a0p01,elastic,6,2,0.01,0.9,60,12,62,165,0.9814951278924193,1.3286590298279446,1.671684219038967,0.0780217999999877,0.10278340000013486
competition_proxy_inclusive,3,additive_elastic_k4_d2_a0p001,elastic,4,2,0.001,0.9,60,12,62,141,0.9800793924334285,1.4124358549550664,1.7700997015270739,0.07933200000024954,1.5477582000003167
competition_proxy_inclusive,3,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9800946758183554,1.410068347895683,1.7694205478946836,0.07933200000024954,0.12011119999988296
competition_proxy_inclusive,3,additive_elastic_k4_d2_a0p005,elastic,4,2,0.005,0.9,60,12,62,141,0.9800116935989666,1.4122442526765389,1.7731049323475399,0.07933200000024954,0.0888980999998239
competition_proxy_inclusive,3,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.9796207521787331,1.4271703492218892,1.790360609253966,0.07933200000024954,0.04390349999994214
competition_proxy_inclusive,3,additive_elastic_k5_d2_a0p001,elastic,5,2,0.001,0.9,60,12,62,153,0.9800287991308326,1.4154014110371371,1.772346078795879,0.07389720000037414,0.3146732999998676
competition_proxy_inclusive,3,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,12,62,153,0.9800545540393125,1.4135413882206667,1.7712028992408608,0.07389720000037414,0.06568010000000868
competition_proxy_inclusive,3,additive_elastic_k5_d2_a0p005,elastic,5,2,0.005,0.9,60,12,62,153,0.9799717322293583,1.415282004769486,1.7748764761979656,0.07389720000037414,0.12092050000001109
competition_proxy_inclusive,3,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,12,62,153,0.9795511683715376,1.430512107961058,1.7934145479159989,0.07389720000037414,0.04773169999998572
competition_proxy_inclusive,3,additive_elastic_k6_d2_a0p001,elastic,6,2,0.001,0.9,60,12,62,165,0.9801050695824424,1.4133587152317284,1.7689585272574413,0.08061300000008487,0.21832680000034088
competition_proxy_inclusive,3,additive_elastic_k6_d2_a0p003,elastic,6,2,0.003,0.9,60,12,62,165,0.980153851735213,1.4111801643646755,1.766788462672991,0.08061300000008487,0.08538649999991321
competition_proxy_inclusive,3,additive_elastic_k6_d2_a0p005,elastic,6,2,0.005,0.9,60,12,62,165,0.9800797466233013,1.4127449607851168,1.77008396520545,0.08061300000008487,0.07477010000002338
competition_proxy_inclusive,3,additive_elastic_k6_d2_a0p01,elastic,6,2,0.01,0.9,60,12,62,165,0.979579037399956,1.4311185471096874,1.7921920389045407,0.08061300000008487,0.10867150000012771
