contract,model,penalty,n_knots,degree,alpha,l1_ratio,source_feature_count,spline_feature_count,engineered_feature_count,transformed_width_max,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,control_oof_r2,delta_vs_additive_control_r2,total_fit_seconds
competition_proxy_inclusive,additive_elastic_k6_d2_a0p001,elastic,6,2,0.001,0.9,60,12,62,165,0.9807926121832926,0.0007819054588368337,0.9807958453527911,1.351314363463065,1.6972557696720543,0.9807002146476884,9.563070510265614e-05,1.3452273000002606
competition_proxy_inclusive,additive_elastic_k5_d2_a0p001,elastic,5,2,0.001,0.9,60,12,62,153,0.9807559227308443,0.0007518740698109077,0.9807582898261463,1.35181723210201,1.6989145305715792,0.9807002146476884,5.8075178457905885e-05,1.7087783000006311
competition_proxy_inclusive,additive_elastic_k6_d2_a0p003,elastic,6,2,0.003,0.9,60,12,62,165,0.9807532324415019,0.0007802538446657185,0.9807578942199847,1.3533055243781666,1.6989319951731061,0.9807002146476884,5.767957229629861e-05,0.4120309000004454
competition_proxy_inclusive,additive_elastic_k4_d2_a0p001,elastic,4,2,0.001,0.9,60,12,62,141,0.9807325986321567,0.0007049959962642386,0.980735363644373,1.3517985380105078,1.6999263436573424,0.9807002146476884,3.514899668455307e-05,5.482484500000737
competition_proxy_inclusive,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,12,62,153,0.980715408423191,0.0007513386789844145,0.9807190210910719,1.3534455272753163,1.7006472305468998,0.9807002146476884,1.880644338347892e-05,0.3454420999996728
competition_proxy_inclusive,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9806964835223155,0.0007152233542139731,0.9807002146476884,1.3529337096156853,1.701476424199776,0.9807002146476884,0.0,1.0251014000000396
competition_proxy_inclusive,additive_elastic_k6_d2_a0p005,elastic,6,2,0.005,0.9,60,12,62,165,0.980620539364795,0.0007868975765731051,0.9806263072433045,1.3580367760915975,1.7047311636720774,0.9807002146476884,-7.390740438395493e-05,0.36711679999962143
competition_proxy_inclusive,additive_elastic_k5_d2_a0p005,elastic,5,2,0.005,0.9,60,12,62,153,0.9805655776825274,0.0007513232918699572,0.9805703855188806,1.3581660642631304,1.7071897247114356,0.9807002146476884,-0.00012982912880776798,0.6490415999992365
competition_proxy_inclusive,additive_elastic_k4_d2_a0p005,elastic,4,2,0.005,0.9,60,12,62,141,0.9805611401351335,0.0007283005227215137,0.9805658519042754,1.357062607572885,1.7073888868935165,0.9807002146476884,-0.00013436274341305232,0.5214570999996795
competition_proxy_inclusive,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.9800728944963997,0.0007464161382505989,0.9800796092824924,1.3738833368761023,1.728616374550971,0.9807002146476884,-0.0006206053651960364,0.21935609999991357
competition_proxy_inclusive,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,12,62,153,0.9800244343298147,0.0007850727502524233,0.9800319036890819,1.3769397103951362,1.7306849925383783,0.9807002146476884,-0.0006683109586065328,0.25978180000038265
competition_proxy_inclusive,additive_elastic_k6_d2_a0p01,elastic,6,2,0.01,0.9,60,12,62,165,0.9800169947995881,0.0008280150569982691,0.9800250895491097,1.3791812355077135,1.7309802666513812,0.9807002146476884,-0.0006751250985786994,0.4999478000004274
scientific_proxy_removed,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,59,11,61,137,0.9383381156516719,0.002253896884423911,0.9383925875801471,2.4274974007334804,3.0399481801299326,0.9383925875801471,0.0,0.04663289999962217
scientific_proxy_removed,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,59,11,61,137,0.9383356434892841,0.0022612900740405727,0.9383902952256594,2.427471542051589,3.040004736425322,0.9383925875801471,-2.2923544876762847e-06,0.043897300000480755
scientific_proxy_removed,additive_ridge_k4_d2_a0p1,ridge,4,2,0.1,0.0,59,11,61,137,0.9383341746305331,0.0022502239818935487,0.9383886178533235,2.4275570407155627,3.0400461193954054,0.9383925875801471,-3.9697268235938665e-06,0.045965699999669596
scientific_proxy_removed,additive_ridge_k4_d2_a3,ridge,4,2,3.0,0.0,59,11,61,137,0.938276927005407,0.0022850264704901944,0.938332323371859,2.428189891135646,3.0414346513479322,0.9383925875801471,-6.026420828808554e-05,0.04244979999930365
scientific_proxy_removed,additive_ridge_k5_d2_a0p3,ridge,5,2,0.3,0.0,59,11,61,148,0.9381231454567803,0.002186381166354139,0.9381774525167551,2.4304074111235767,3.045251352806068,0.9383925875801471,-0.0002151350633919913,0.04886190000070201
scientific_proxy_removed,additive_ridge_k5_d2_a0p1,ridge,5,2,0.1,0.0,59,11,61,148,0.9381196923730644,0.002188164106136226,0.9381742066626562,2.4305054690088905,3.045331293800507,0.9383925875801471,-0.00021838091749093458,0.05067050000116069
scientific_proxy_removed,additive_ridge_k5_d2_a1,ridge,5,2,1.0,0.0,59,11,61,148,0.9381050678430238,0.002184987654630534,0.9381591488987298,2.4304856192930715,3.045702118706243,0.9383925875801471,-0.0002334386814173417,0.049097600000095554
scientific_proxy_removed,additive_ridge_k5_d2_a3,ridge,5,2,3.0,0.0,59,11,61,148,0.9380114040433275,0.002199280692577525,0.9380657588991848,2.431057244354466,3.0480010102009123,0.9383925875801471,-0.0003268286809623433,0.04895589999978256
scientific_proxy_removed,additive_ridge_k6_d2_a0p3,ridge,6,2,0.3,0.0,59,11,61,159,0.9379539239416094,0.002243804316588656,0.9380091528292533,2.437328131398968,3.0493935835998647,0.9383925875801471,-0.0003834347508937519,0.05536850000044069
scientific_proxy_removed,additive_ridge_k6_d2_a0p1,ridge,6,2,0.1,0.0,59,11,61,159,0.9379518087727833,0.0022333612600275643,0.9380070738138631,2.4371518850009917,3.0494447176247017,0.9383925875801471,-0.0003855137662840402,0.05865140000014435
scientific_proxy_removed,additive_ridge_k6_d2_a1,ridge,6,2,1.0,0.0,59,11,61,159,0.937933381514215,0.0022702255728891847,0.9379889321364313,2.4376420834223844,3.0498908813971886,0.9383925875801471,-0.0004036554437157891,0.05454790000067078
scientific_proxy_removed,additive_ridge_k6_d2_a3,ridge,6,2,3.0,0.0,59,11,61,159,0.9378732363193178,0.002309332928028785,0.9379297134565585,2.4379126236856092,3.0513468103076735,0.9383925875801471,-0.0004628741235885858,0.054646300000058545
