contract,fold,model,source_feature_count,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,fit_seconds
competition,0,ridge_fixed,62,64,111,0.6091797692597705,0.5928849843950312,0.5800258407569711,0.5794260221293943,0.7239174427472715,0.011814900000899797
competition,0,elastic_net_fixed,62,64,111,0.6101299208623199,0.5938747514389899,0.5810468706040655,0.5791203022576057,0.7230369229680964,0.025587000000086846
competition,0,pls_8,62,64,111,0.6077838873224606,0.5914309028199443,0.5785258305299829,0.5804369415121854,0.7252090885143665,0.025520099999994272
competition,1,ridge_fixed,62,64,111,0.6246106103438358,0.6089591960519827,0.5966077728090009,0.5495753731575366,0.69994338192283,0.0069631000005756505
competition,1,elastic_net_fixed,62,64,111,0.62610276674253,0.6105135661376582,0.5982112392616299,0.5480733638929952,0.6985508745975072,0.024302899999383953
competition,1,pls_8,62,64,111,0.6213861446060809,0.6056002900489403,0.5931427723287119,0.554696485644691,0.7029430905289384,0.023866999999881955
competition,2,ridge_fixed,62,64,111,0.6105010468080629,0.5942613510397998,0.5814456813481805,0.5642606303587498,0.7090117563988438,0.0064318000004277565
competition,2,elastic_net_fixed,62,64,111,0.6112301445860965,0.5950208476828458,0.582229167468527,0.5634485530065736,0.7083478508461449,0.021472300000823452
competition,2,pls_8,62,64,111,0.6053875586518764,0.5889346620744953,0.5759507434706657,0.5696579320541261,0.7136506666665309,0.025398300000233576
competition,3,ridge_fixed,62,64,111,0.6119471022079876,0.5957676980003728,0.5829996078162447,0.5663868462973972,0.7154141229374699,0.007331200000407989
competition,3,elastic_net_fixed,62,64,111,0.6140175099116044,0.5979244288916322,0.5852244612558168,0.5647665255472971,0.7135030691921045,0.041582300000300165
competition,3,pls_8,62,64,111,0.6014605635946111,0.5848439356272204,0.5717308072498544,0.5732803495611808,0.7250161737674997,0.024470099999234662
competition,4,ridge_fixed,62,64,111,0.6295304611527828,0.6140841741910747,0.6018946286178088,0.5594724330188195,0.6918391680605505,0.006432300000597024
competition,4,elastic_net_fixed,62,64,111,0.6313004944690812,0.6159280069420592,0.6037967007097184,0.5585248065216648,0.6901844509326116,0.04511120000097435
competition,4,pls_8,62,64,111,0.622834678686795,0.6071092190359513,0.5946993623791567,0.5635418614343898,0.6980632430155091,0.024115700000038487
scientific_proxy_removed,0,ridge_fixed,58,60,103,0.6092565047660106,0.594022840234471,0.58235371064228,0.5795643077298123,0.7238463705584622,0.005902400000195485
scientific_proxy_removed,0,elastic_net_fixed,58,60,103,0.6101968518488687,0.594999848022314,0.5833588008732227,0.5792386113136365,0.7229748565845413,0.018524099999922328
scientific_proxy_removed,0,pls_8,58,60,103,0.608006544381908,0.5927241484513781,0.581017690151518,0.5801680630838364,0.7250032124156414,0.023247000000992557
scientific_proxy_removed,1,ridge_fixed,58,60,103,0.6249047409180186,0.6102811440727172,0.5990793320373742,0.549553011128329,0.6996691132596788,0.006228000000191969
scientific_proxy_removed,1,elastic_net_fixed,58,60,103,0.626169412916769,0.6115951210226859,0.6004310770413861,0.5480954781233577,0.6984886144174953,0.02377839999826392
scientific_proxy_removed,1,pls_8,58,60,103,0.6229123610430878,0.6082110885691341,0.5969497762753325,0.5529472715855889,0.701524855771784,0.022159100000862963
scientific_proxy_removed,2,ridge_fixed,58,60,103,0.6109121229910734,0.5957430049790295,0.5841233186248171,0.5637529172641494,0.7086375130463115,0.005881400000362191
scientific_proxy_removed,2,elastic_net_fixed,58,60,103,0.6116257572425439,0.596484461228608,0.5848860867853126,0.5630056374011545,0.7079873513137123,0.02121150000130001
scientific_proxy_removed,2,pls_8,58,60,103,0.6045610261528448,0.5891443020262501,0.5773349470711222,0.5701657297832782,0.7143976615162912,0.022903600000063307
scientific_proxy_removed,3,ridge_fixed,58,60,103,0.614992309950458,0.5999822635547644,0.5884844275473144,0.5644272548226789,0.7126015224521267,0.006089000000429223
scientific_proxy_removed,3,elastic_net_fixed,58,60,103,0.616087471158133,0.6011201211058185,0.5896549908969617,0.5634807670640797,0.7115872968536878,0.020852500001637964
scientific_proxy_removed,3,pls_8,58,60,103,0.604487872854799,0.5890682967477736,0.5772567571489462,0.5714802185403997,0.7222573098969985,0.0221865000003163
scientific_proxy_removed,4,ridge_fixed,58,60,103,0.6296185618109238,0.6151787396593029,0.6041177007591358,0.5592081310337176,0.691756900689333,0.006364400000165915
scientific_proxy_removed,4,elastic_net_fixed,58,60,103,0.6312916454138273,0.6169170506931189,0.6059059766154478,0.5583842403499317,0.6901927333463448,0.041841300000669435
scientific_proxy_removed,4,pls_8,58,60,103,0.626056819214624,0.6114781377025236,0.6003107312327431,0.561084207802271,0.6950750542198489,0.02275050000025658
