repeat,subsample_seed,training_fraction,training_rows_per_fold,mean_train_r2,mean_fold_validation_r2,mean_generalization_gap_r2,oof_adjusted_r2_raw,oof_r2,oof_mae,oof_rmse
0,2026,0.2,1280,0.6343301294739173,0.6179976472419224,0.016332482231994794,0.6155404825992565,0.6184242894556191,0.5625469929695045,0.7073176184756078
1,2037,0.2,1280,0.6365400576884943,0.6170643432042628,0.01947571448423142,0.6146023779929676,0.6174932215134604,0.5637527995435967,0.7081800417098458
2,2048,0.2,1280,0.6315946657541013,0.619814041277255,0.011780624476846292,0.6173622916153132,0.6202324331958959,0.561478985163792,0.7056397723974125
3,2059,0.2,1280,0.6275295447749564,0.6163999646670569,0.011129580107899485,0.6138909042921608,0.6167870845324996,0.5651477125732653,0.7088334177604345
4,2070,0.2,1280,0.6350119660664258,0.61378385858208,0.021228107484345983,0.6112934451107355,0.6142091087303574,0.5657546955101743,0.711213677326413
0,2026,0.4,2560,0.6299879334848859,0.6204559034446652,0.00953203004022074,0.6180163748902505,0.6208816102329915,0.5612781759808592,0.7050364019312991
1,2037,0.4,2560,0.6344835250146434,0.6212957445248108,0.013187780489832757,0.6188444677984861,0.6217034916679811,0.5605807329230271,0.7042717717609618
2,2048,0.4,2560,0.6296358840058018,0.6211814231215892,0.00845446088421269,0.6187409054407748,0.6216007061250545,0.5606184263656067,0.7043674427999064
3,2059,0.4,2560,0.6222201453830509,0.6218282654815319,0.0003918799015189212,0.6193729122590458,0.622227972299608,0.5607446230805995,0.7037833915975954
4,2070,0.4,2560,0.6267817933901312,0.6194685310153769,0.0073132623747543144,0.6170189065896197,0.6198916238798589,0.5619111334922706,0.7059563274416799
0,2026,0.6,3840,0.6279506938123391,0.6223817889961911,0.005568904816148223,0.6199494991750573,0.6228002342731316,0.5600253220707236,0.7032501320084965
1,2037,0.6,3840,0.6275823374672548,0.6215575441281912,0.006024793339063539,0.6191085961650301,0.6219656388241248,0.5601457314128883,0.7040277107750116
2,2048,0.6,3840,0.6295783550861007,0.6223475844628039,0.0072307706232968005,0.6199118377318248,0.6227628553260354,0.5600132178814673,0.7032849757447249
3,2059,0.6,3840,0.6250273130073332,0.6228623479059425,0.0021649651013906147,0.6204284630939354,0.6232756055135333,0.5598085152350064,0.7028068519319067
4,2070,0.6,3840,0.6271322506993399,0.6219163981086306,0.005215852590709269,0.6194718505232675,0.6223261684340818,0.5603720411413526,0.7036919167198575
0,2026,0.8,5120,0.6286382302439814,0.6225195400402421,0.006118690203739119,0.6200794317265023,0.6229291922086138,0.5599772493500769,0.7031299073344406
1,2037,0.8,5120,0.6253364176941074,0.622234891069499,0.003101526624608497,0.6197937408814274,0.6226456443127455,0.559846761350444,0.7033942257796777
2,2048,0.8,5120,0.6278147738130095,0.6221314906380613,0.005683283174948239,0.6196940342177166,0.6225466855424993,0.5599964039963287,0.7034864500559198
3,2059,0.8,5120,0.6255777455944794,0.6223220301670749,0.0032557154274043933,0.6198849033388047,0.6227361229662172,0.5603088295000296,0.7033098939350949
4,2070,0.8,5120,0.6249072519437223,0.6217365244338862,0.003170727509836202,0.6192959013215313,0.6221515390163317,0.5604778317666392,0.7038545850036124
0,2026,1.0,6400,0.6259645582106282,0.622595660420233,0.0033688977903953976,0.6201624354997604,0.6230115733757466,0.559852657967001,0.7030530944052009
1,2037,1.0,6400,0.6259645582106282,0.622595660420233,0.0033688977903953755,0.6201624354997604,0.6230115733757466,0.559852657967001,0.7030530944052009
2,2048,1.0,6400,0.6259645582106282,0.622595660420233,0.003368897790395442,0.6201624354997604,0.6230115733757466,0.559852657967001,0.7030530944052009
3,2059,1.0,6400,0.6259645582106284,0.622595660420233,0.0033688977903954644,0.6201624354997604,0.6230115733757466,0.559852657967001,0.7030530944052009
4,2070,1.0,6400,0.6259645582106282,0.622595660420233,0.0033688977903953976,0.6201624354997604,0.6230115733757466,0.559852657967001,0.7030530944052009
