model,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,total_fit_seconds
spline_ridge,0.7867172156616692,0.0076480479603320195,0.7869007019669725,0.5847347615294589,0.7333267503817671,0.8565148000016052
pls_16,0.7753452545292913,0.00713741346758349,0.7755595439844988,0.6006451852682262,0.7525876533596707,0.7229926000036357
pls_8,0.7633442851070049,0.00977048959142182,0.7636051496559174,0.6163136229199597,0.7723702258195141,0.6817008999969403
catboost_native,0.7418791805291705,0.01659903499356259,0.7421587555201581,0.6382297050262846,0.8066454942977541,297.17046989999653
