contract,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width_max,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,oof_adjusted_r2_raw,oof_adjusted_r2_transformed,oof_r2,oof_mae,oof_rmse,control_adjusted_r2_raw,delta_vs_fixed_elastic,total_fit_seconds,material_improvement
competition,elastic_a0p01_l1_0p9,0.01,0.9,62,64,111,0.6067995861956037,0.010131106869258584,0.6199117677866997,0.6176470432793436,0.6229528537801553,0.5598479081682621,0.7031078459347389,0.6158906330925098,0.004021134694189854,0.04402729999856092,True
scientific_proxy_removed,elastic_a0p01_l1_0p9,0.01,0.9,58,60,103,0.6078820409434388,0.010068100467095343,0.6201624354997604,0.6180939178612712,0.6230115733757466,0.559852657967001,0.7030530944052009,0.616607643898979,0.003554791600781315,0.06140830000003916,True
