fold,model,r2,mae,rmse,fit_seconds
0,pls_8,0.7732734096224858,0.6065179381881576,0.7588399283087304,0.2730812000008882
0,pls_16,0.783285891449242,0.5933539170518136,0.7418951615471192,0.19290650000039022
0,spline_ridge,0.7919914025910971,0.5793031258185958,0.7268412869171108,0.2174165999967954
0,catboost_native,0.757057175102751,0.6208428749705069,0.7855086727218324,63.94785899999988
1,pls_8,0.7540796081080827,0.634931232929381,0.7884221785945097,0.1438680999999633
1,pls_16,0.766182475777679,0.6170219076293465,0.7687764841170818,0.18733960000099614
1,spline_ridge,0.7755940004064978,0.604779530552491,0.7531453402156195,0.22788240000227233
1,catboost_native,0.7195714353985782,0.6624714413621825,0.8419236050516161,70.55396230000042
2,pls_8,0.7528809452767246,0.6195139134584168,0.7799856862853799,0.10190599999987171
2,pls_16,0.7700072263743609,0.5990672660535833,0.7524724627410152,0.13737190000028932
2,spline_ridge,0.7867010009999669,0.5785783938118356,0.7246493793290856,0.15211289999933797
2,catboost_native,0.7353462822417525,0.6410933227408168,0.8071839456477459,61.6216557000007
3,pls_8,0.7727123713363128,0.6056917800674216,0.7618461234221146,0.08303299999897717
3,pls_16,0.7804621839871739,0.5950734990227472,0.7487451684678117,0.10426220000226749
3,spline_ridge,0.7953606507781863,0.5756365416590993,0.722892861660988,0.12722860000212677
3,catboost_native,0.7596213273774473,0.6271252787397398,0.7834789444838255,50.68915569999808
4,pls_8,0.7637750911914187,0.6149132499564216,0.7723626567770766,0.07981259999723989
4,pls_16,0.7767884950580007,0.5987093365836408,0.750786941949054,0.10111239999969257
4,spline_ridge,0.7839390235325977,0.5853762158052725,0.7386634158188348,0.1318743000010727
4,catboost_native,0.7377996825253236,0.6396156073181771,0.8137200729544919,50.35783719999745
