contract,family,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width_max,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,control_oof_r2,delta_vs_fixed_elastic_r2,total_fit_seconds
competition_proxy_inclusive,elastic_net,elastic_a0p003_l1_0p9,0.003,0.9,60,62,105,0.9796595948416252,0.0009461341192701428,0.9796625561007233,1.3818743880364188,1.7466177942717458,0.9796213695740751,4.118652664819589e-05,0.1280312000003505
competition_proxy_inclusive,elastic_net,elastic_a0p001_l1_0p9,0.001,0.9,60,62,105,0.9796539374050977,0.0009242545445898345,0.97965603996706,1.382450071351786,1.7468975807476772,0.9796213695740751,3.467039298488128e-05,0.363429399999859
competition_proxy_inclusive,elastic_net,elastic_a0p001_l1_0p7,0.001,0.7,60,62,105,0.9796393577052666,0.0009406726534914781,0.9796415306814531,1.3829902877559048,1.7475204122482644,0.9796213695740751,2.016110737801391e-05,0.4200453999999354
competition_proxy_inclusive,elastic_net,elastic_a0p0003_l1_0p9,0.0003,0.9,60,62,105,0.9796315478491039,0.000914332581865108,0.9796334228440269,1.383539481074766,1.7478683559169377,0.9796213695740751,1.205326995179501e-05,0.7902519999997821
competition_proxy_inclusive,elastic_net,elastic_a0p0003_l1_0p7,0.0003,0.7,60,62,105,0.979628996386181,0.0009188842858890494,0.9796308977798424,1.3836440417222675,1.7479767036025284,0.9796213695740751,9.52820576727298e-06,0.890139699999736
competition_proxy_inclusive,elastic_net,elastic_a0p0003_l1_0p5,0.0003,0.5,60,62,105,0.9796257474434187,0.0009235380710994926,0.9796276728813702,1.3837670195355385,1.7481150706311535,0.9796213695740751,6.303307295119076e-06,0.9303311999999551
competition_proxy_inclusive,elastic_net,elastic_a0p0001_l1_0p9,0.0001,0.9,60,62,105,0.9796240417498258,0.0009095846723872963,0.9796259212603108,1.3839334711614646,1.74819022084198,0.9796213695740751,4.551686235698682e-06,1.0929532000000108
competition_proxy_inclusive,elastic_net,elastic_a0p0001_l1_0p7,0.0001,0.7,60,62,105,0.9796230601207716,0.0009113193689797232,0.9796249423340059,1.3839655638772452,1.7482322185405987,0.9796213695740751,3.572759930792202e-06,1.0798931999997876
competition_proxy_inclusive,elastic_net,elastic_a0p0001_l1_0p5,0.0001,0.5,60,62,105,0.9796219744321067,0.0009130765808044837,0.9796238596237409,1.3839994639086444,1.7482786675827224,0.9796213695740751,2.490049665793137e-06,1.1511214000001928
competition_proxy_inclusive,elastic_net,elastic_a0p0003_l1_0p3,0.0003,0.3,60,62,105,0.9796218188650251,0.0009282006619007457,0.979623771365131,1.3839018836407786,1.748282453885598,0.9796213695740751,2.401791055928193e-06,0.9958601999999246
competition_proxy_inclusive,elastic_net,elastic_a0p0001_l1_0p3,0.0001,0.3,60,62,105,0.9796207818880003,0.0009148625227442289,0.9796226705352147,1.3840380441984457,1.7483296789062035,0.9796213695740751,1.3009611395942144e-06,1.312025500000118
competition_proxy_inclusive,elastic_net,elastic_a0p0001_l1_0p1,0.0001,0.1,60,62,105,0.9796195441761106,0.0009166575190057447,0.9796214354580441,1.3840790906689384,1.748382661544544,0.9796213695740751,6.588396905815586e-08,1.5486940999999206
competition_proxy_inclusive,elastic_net,elastic_a0p001_l1_0p5,0.001,0.5,60,62,105,0.9796191713447312,0.0009560018767001803,0.9796213695740751,1.3836877434620056,1.7483854878058285,0.9796213695740751,0.0,0.5810931999997138
competition_proxy_inclusive,ridge,ridge_a0p3,0.3,,60,62,105,0.9796188335244664,0.0009125804626429862,0.9796207092818268,1.3841374305054246,1.7484138124775417,0.9796213695740751,-6.602922483223139e-07,0.03607669999996688
competition_proxy_inclusive,ridge,ridge_a0p1,0.1,,60,62,105,0.9796185268353075,0.000909619615851396,0.9796203940220675,1.3841680957133522,1.7484273360685614,0.9796213695740751,-9.755520076204505e-07,0.03557490000025609
competition_proxy_inclusive,ridge,ridge_a1,1.0,,60,62,105,0.9796183708782417,0.0009227421553360033,0.9796202827010689,1.3840820545271362,1.74843211134271,0.9796213695740751,-1.0868730061508458e-06,0.035473500000080094
competition_proxy_inclusive,ridge,ridge_a0p01,0.01,,60,62,105,0.9796183223703476,0.0009082787224781252,0.9796201859876601,1.3841829676949204,1.748436259992726,0.9796213695740751,-1.1835864149878361e-06,0.03759760000002643
competition_proxy_inclusive,elastic_net,elastic_a0p0003_l1_0p1,0.0003,0.1,60,62,105,0.9796170355146888,0.0009331028894542832,0.9796190024722471,1.3840671284069614,1.7484870276596771,0.9796213695740751,-2.3671018279936007e-06,1.2593841999998858
competition_proxy_inclusive,ridge,ridge_a3,3.0,,60,62,105,0.9796052934394028,0.0009501604087260138,0.9796073454590346,1.3844333260096802,1.7489869841208976,0.9796213695740751,-1.4024115040478513e-05,0.03359700000032717
competition_proxy_inclusive,elastic_net,elastic_a0p001_l1_0p3,0.001,0.3,60,62,105,0.9795939578489072,0.000971007460381386,0.9795961950623356,1.3846463804322815,1.7494650786609585,0.9796213695740751,-2.5174511739445293e-05,0.7003519000004417
competition_proxy_inclusive,elastic_net,elastic_a0p003_l1_0p7,0.003,0.7,60,62,105,0.9795807383789239,0.0009894939277190432,0.9795837699883737,1.384793960599115,1.7499976735568747,0.9796213695740751,-3.759958570137556e-05,0.15490370000020448
competition_proxy_inclusive,elastic_net,elastic_a0p001_l1_0p1,0.001,0.1,60,62,105,0.9795660116565965,0.0009850932456500637,0.9795683320344073,1.3857249525865956,1.7506591883972134,0.9796213695740751,-5.303753966778846e-05,0.8911314999998012
competition_proxy_inclusive,elastic_net,elastic_a0p003_l1_0p5,0.003,0.5,60,62,105,0.9794745575495538,0.00102846793693641,0.9794777434008404,1.388721523891838,1.7545358769335606,0.9796213695740751,-0.00014362617323471216,0.18699489999971775
competition_proxy_inclusive,ridge,ridge_a10,10.0,,60,62,105,0.9794592765179955,0.001030817522703537,0.9794620137966208,1.389636027204242,1.7552081438591396,0.9796213695740751,-0.0001593557774542953,0.04029809999974532
competition_proxy_inclusive,elastic_net,elastic_a0p003_l1_0p3,0.003,0.3,60,62,105,0.9793481205561267,0.0010622467640489595,0.9793515761404333,1.393355321515009,1.7599209036068115,0.9796213695740751,-0.0002697934336417518,0.2513560000002144
competition_proxy_inclusive,elastic_net,elastic_a0p01_l1_0p9,0.01,0.9,60,62,105,0.9792708010251745,0.0009826099704567178,0.9792771330410458,1.3943969620509202,1.7630905424835042,0.9796213695740751,-0.00034423653302928514,0.08663930000011533
