contract,model,source_feature_count,engineered_feature_count,transformed_width_max,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,total_fit_seconds
competition_proxy_inclusive,elastic_net_fixed,60,62,105,0.9796191713447312,0.0009560018767001803,0.9796213695740751,1.3836877434620056,1.7483854878058285,0.7578575000000001
competition_proxy_inclusive,ordinary_least_squares,60,62,105,0.97961829707045,0.0009081294062885276,0.9796201603026484,1.3841847102494935,1.7484373617837314,0.2171211000004405
competition_proxy_inclusive,ridge_fixed,60,62,105,0.9794592765179955,0.001030817522703537,0.9794620137966208,1.389636027204242,1.7552081438591396,0.059280400000034206
competition_proxy_inclusive,pls_16,60,62,105,0.9781576981227176,0.0011632204894068202,0.9781597777520523,1.432074965363644,1.8099985340744542,0.3274578000000474
competition_proxy_inclusive,extra_trees_fixed,60,62,105,0.9684641668901588,0.0010003810057210376,0.9684643441444115,1.7161283125,2.1749567747583574,14.342746099999886
competition_proxy_inclusive,dummy_mean,60,62,105,-0.00048286331150420024,0.0002974201393973292,-0.0001753743564651966,9.86933133203125,12.2486373105553,0.013275199999725373
scientific_proxy_removed,elastic_net_fixed,59,61,104,0.9274746279149138,0.001891894151688314,0.9275015979762417,2.6172344807351884,3.2977210274262467,1.1018369999999322
scientific_proxy_removed,ridge_fixed,59,61,104,0.9274131894407207,0.0018474351407009614,0.9274397285060809,2.619114488705025,3.299127849760362,0.04530869999985043
scientific_proxy_removed,ordinary_least_squares,59,61,104,0.9273957918670476,0.001969180344616263,0.9274250296292643,2.6180581984609272,3.2994619927922733,0.18780290000017885
scientific_proxy_removed,pls_16,59,61,104,0.926944262079785,0.0020648336444137384,0.9269688891150067,2.6273946452771204,3.309814466169332,0.2962494000000788
scientific_proxy_removed,extra_trees_fixed,59,61,104,0.847333613167031,0.0034590656844831597,0.8474517962740653,3.7979809427083335,4.783582247177794,14.02034320000007
scientific_proxy_removed,dummy_mean,59,61,104,-0.00048286331150420024,0.0002974201393973292,-0.0001753743564651966,9.86933133203125,12.2486373105553,0.012347300000101313
