contract,model,penalty,n_knots,degree,alpha,l1_ratio,source_feature_count,spline_feature_count,engineered_feature_count,transformed_width_max,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,control_oof_r2,delta_vs_linear_control_r2,total_fit_seconds,material_improvement
competition_proxy_inclusive,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9806964835223155,0.0007152233542139731,0.9807002146476884,1.3529337096156853,1.701476424199776,0.9796625561007233,0.0010376585469651367,1.053614700000253,True
scientific_proxy_removed,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,59,11,61,137,0.9383381156516719,0.002253896884423911,0.9383925875801471,2.4274974007334804,3.0399481801299326,0.9276701162922294,0.010722471287917701,0.04638359999989916,True
