model,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,total_fit_seconds
lightgbm_fixed,0.7280586516218348,0.014757491403161821,0.728338469433061,0.6536925976331909,0.8279814167755153,8.47449360000246
catboost_fixed,0.7238559502649204,0.016795893625637298,0.7241464231670073,0.6595970915467715,0.8343453075374795,8.350707700003113
