contract,model,penalty,n_knots,degree,alpha,l1_ratio,source_feature_count,spline_feature_count,engineered_feature_count,transformed_width_max,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,control_oof_r2,delta_vs_linear_control_r2,total_fit_seconds
competition_proxy_inclusive,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9806964835223155,0.0007152233542139731,0.9807002146476884,1.3529337096156853,1.701476424199776,0.9796625561007233,0.0010376585469651367,1.053614700000253
competition_proxy_inclusive,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,12,62,141,0.9806835089768597,0.0007243697394196749,0.9806865110061433,1.3538559752737984,1.7020803761389562,0.9796625561007233,0.0010239549054200658,0.05157420000023194
competition_proxy_inclusive,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,60,12,62,141,0.9806809704869682,0.0007194580514640681,0.9806839687013648,1.3538619777490788,1.7021923979668863,0.9796625561007233,0.0010214126006414803,0.052683400000660185
competition_proxy_inclusive,additive_ridge_k4_d2_a3,ridge,4,2,3.0,0.0,60,12,62,141,0.9806641454543931,0.0007418631344921895,0.980667267649467,1.354585413590965,1.7029281148655437,0.9796625561007233,0.0010047115487437086,0.052757199999632576
competition_proxy_inclusive,additive_ridge_k3_d2_a0p3,ridge,3,2,0.3,0.0,60,12,62,129,0.9806174528701863,0.0007273388773312608,0.9806222893036749,1.3540371474153594,1.7049079279031092,0.9796625561007233,0.0009597332029516181,0.04733489999989615
competition_proxy_inclusive,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,12,62,129,0.9806169897731634,0.0007336423002309287,0.9806219110949073,1.3540013963644602,1.7049245657812904,0.9796625561007233,0.0009593549941839807,0.046748200000365614
competition_proxy_inclusive,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,12,62,129,0.9806138479676262,0.0007046650227075052,0.9806199221706541,1.3538880749674658,1.7050120583825843,0.9796625561007233,0.0009573660699307984,0.9177549999999428
competition_proxy_inclusive,additive_ridge_k3_d2_a3,ridge,3,2,3.0,0.0,60,12,62,129,0.9806003917785164,0.0007527228921844046,0.980605553418446,1.3546341689126806,1.7056440051862092,0.9796625561007233,0.000942997317722738,0.04287090000025273
competition_proxy_inclusive,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,12,62,129,0.9801502356470457,0.0007463709818243498,0.9801584608916628,1.3712442611422913,1.7251917596229194,0.9796625561007233,0.0004959047909395276,0.15910819999999148
competition_proxy_inclusive,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.9800728944963997,0.0007464161382505989,0.9800796092824924,1.3738833368761023,1.728616374550971,0.9796625561007233,0.00041705318176910033,0.2140119000005143
scientific_proxy_removed,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,59,11,61,137,0.9383381156516719,0.002253896884423911,0.9383925875801471,2.4274974007334804,3.0399481801299326,0.9276701162922294,0.010722471287917701,0.04638359999989916
scientific_proxy_removed,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,59,11,61,137,0.9383356434892841,0.0022612900740405727,0.9383902952256594,2.427471542051589,3.040004736425322,0.9276701162922294,0.010720178933430025,0.04368049999948198
scientific_proxy_removed,additive_ridge_k4_d2_a3,ridge,4,2,3.0,0.0,59,11,61,137,0.938276927005407,0.0022850264704901944,0.938332323371859,2.428189891135646,3.0414346513479322,0.9276701162922294,0.010662207079629615,0.04478180000114662
scientific_proxy_removed,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,59,11,61,137,0.9382299336722811,0.002263920747865892,0.9382864202477913,2.4267127496292007,3.04256640617532,0.9276701162922294,0.010616303955561901,2.6184130000006007
scientific_proxy_removed,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,59,11,61,126,0.9380065396923308,0.0024155475986718357,0.9380666732346011,2.4306845220854485,3.047978511293128,0.9276701162922294,0.010396556942371737,1.1726898000006258
scientific_proxy_removed,additive_ridge_k3_d2_a3,ridge,3,2,3.0,0.0,59,11,61,126,0.9378891674267734,0.002518873397791124,0.9379506680173583,2.432790394446865,3.050831708532414,0.9276701162922294,0.010280551725128872,0.03979119999985414
scientific_proxy_removed,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,59,11,61,126,0.9378736631784855,0.002524937444125078,0.9379353751133053,2.4329313983733316,3.05120764491003,0.9276701162922294,0.010265258821075873,0.04158740000048056
scientific_proxy_removed,additive_ridge_k3_d2_a0p3,ridge,3,2,0.3,0.0,59,11,61,126,0.9378615671810608,0.002524119370304681,0.9379233984848655,2.433070283247302,3.0515020269155233,0.9276701162922294,0.010253282192636104,0.04079719999981535
scientific_proxy_removed,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,59,11,61,126,0.9377311850956822,0.002425853959089609,0.9377909603288721,2.436243261910574,3.0547554264997454,0.9276701162922294,0.010120844036642707,0.20863100000042323
scientific_proxy_removed,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,59,11,61,137,0.937482836185984,0.0025284497657051277,0.9375434126348535,2.4381038335817253,3.060827268120983,0.9276701162922294,0.009873296342624127,1.4311685000002399
