fold,repeat,subsample_seed,training_fraction,training_rows,validation_rows,engineered_feature_count,transformed_width,train_r2,train_adjusted_r2_raw,validation_r2,validation_adjusted_r2_raw,validation_mae,validation_rmse,generalization_gap_r2,transform_seconds,fit_seconds
0,0,2026,0.2,1280,1600,60,103,0.6331682754988965,0.6151125712576608,0.6116352139473569,0.5964942866158698,0.5768821344033852,0.721639745887613,0.021533061551539667,0.1694138999991992,0.005863300000783056
0,0,2026,0.4,2560,1600,60,103,0.626504841833394,0.6175373710490818,0.6148823817359892,0.5998680496399265,0.5765112336199998,0.7186165520579171,0.011622460097404863,0.06078239999988,0.00763340000048629
0,0,2026,0.6,3840,1600,60,103,0.6307373899963329,0.6248745277046631,0.6154197626283039,0.6004263810543586,0.5763091819686206,0.7181150096818426,0.015317627368028996,0.07631190000029164,0.0082455999981903
0,0,2026,0.8,5120,1600,60,103,0.6352365787471452,0.630910465824597,0.6149166112350685,0.5999036136224005,0.5768637778174192,0.7185846157999615,0.020319967512076764,0.09240340000178549,0.012942399996973109
0,0,2026,1.0,6400,1600,60,103,0.6281195416693485,0.6245996130528728,0.6154278025467422,0.6004347344199096,0.576430202619688,0.7181075032947202,0.012691739122606238,0.11332670000047074,0.012423000000126194
0,1,2037,0.2,1280,1600,60,103,0.6326695511262664,0.6145892993359268,0.6096205558479687,0.594401084341067,0.5784403112273898,0.72350909243979,0.023048995278297735,0.042424200000823475,0.00499370000034105
0,1,2037,0.4,2560,1600,60,103,0.6408169608844083,0.6321931184086438,0.6120315894591508,0.596906115363991,0.5780364434739468,0.7212713894399421,0.0287853714252575,0.05453420000048936,0.00619889999870793
0,1,2037,0.6,3840,1600,60,103,0.6295950546558737,0.6237140552590366,0.6129579070245471,0.597868546674627,0.5773887611333923,0.7204098171797689,0.01663714763132662,0.07278369999767165,0.008883900001819711
0,1,2037,0.8,5120,1600,60,103,0.6250933479649551,0.6206469358040334,0.6144324973849492,0.5994006259379686,0.5768927002927821,0.7190361640997264,0.010660850580005876,0.09101399999781279,0.014541699998517288
0,1,2037,1.0,6400,1600,60,103,0.6281195416693485,0.6245996130528728,0.6154278025467421,0.6004347344199095,0.5764302026196881,0.7181075032947203,0.01269173912260635,0.1077452000026824,0.015026000000943895
0,2,2048,0.2,1280,1600,60,103,0.6392105853868719,0.6214522877028787,0.6117409819869861,0.596604178165816,0.5776358283830778,0.7215414727930733,0.0274696033998858,0.04530259999955888,0.004226400000334252
0,2,2048,0.4,2560,1600,60,103,0.636251462423008,0.6275180041378461,0.6141254146800312,0.5990815711977713,0.5763987132083208,0.7193224429248594,0.022126047742976773,0.05538960000194493,0.007283599999936996
0,2,2048,0.6,3840,1600,60,103,0.6341983067157576,0.6283903941470742,0.6150793667429868,0.6000727143742923,0.5763102487110515,0.7184327448445232,0.01911893997277081,0.06734049999795388,0.010182599999097874
0,2,2048,0.8,5120,1600,60,103,0.6269960685981775,0.6225722228017534,0.6145753640994778,0.5995490625049156,0.576563070893862,0.7189029372958399,0.012420704498699697,0.09456439999848953,0.01290309999967576
