inner_seed,outer_fold,base_r2,corrected_r2,delta_r2,corrected_mae,corrected_rmse
2026,0,0.7953084147587886,0.7972284438515399,0.001920029092751352,0.5700504448189315,0.7176331018060483
2026,1,0.782161670063719,0.7853231447459088,0.0031614746821898576,0.5917203216570275,0.736638094012109
2026,2,0.7892763543104808,0.7917074085226858,0.0024310542122050194,0.5699326165130156,0.7160946474507515
2026,3,0.7980761140155586,0.8022569918112918,0.004180877795733284,0.5660982893617986,0.7106077367194433
2026,4,0.7872681556957475,0.7904863428449109,0.003218187149163443,0.5741716577921574,0.7273854199785568
2037,0,0.7953084147587886,0.7984918921864582,0.0031834774276696676,0.5676503264747205,0.7153938598766731
2037,1,0.782161670063719,0.7848697994665308,0.002708129402811843,0.5929884018542005,0.7374154840153837
2037,2,0.7892763543104808,0.7913601834902747,0.0020838291797938835,0.5700187611727084,0.7166912660056663
2037,3,0.7980761140155586,0.8015170959865905,0.003440981971031931,0.566100954190995,0.7119359373873814
2037,4,0.7872681556957475,0.7918317245179627,0.004563568822215203,0.5722364398812368,0.7250462237736004
2048,0,0.7953084147587886,0.7979255369232456,0.0026171221644570863,0.5690241164157497,0.7163984913841793
2048,1,0.782161670063719,0.7834017006097296,0.0012400305460106287,0.5959451482017842,0.7399273538615767
2048,2,0.7892763543104808,0.7907129702441991,0.0014366159337182438,0.5708723452976183,0.7178020149534637
2048,3,0.7980761140155586,0.801229545925976,0.0031534319104173925,0.5688449572476505,0.7124514556662368
2048,4,0.7872681556957475,0.7905489837186902,0.0032808280229427167,0.5739025702736238,0.7272766741690441
2059,0,0.7953084147587886,0.7980205636838933,0.0027121489251047404,0.568442324281498,0.7162300261753022
2059,1,0.782161670063719,0.7837234200416207,0.0015617499779017052,0.5937998614892368,0.7393776323967854
2059,2,0.7892763543104808,0.7920100060079152,0.002733651697434336,0.5690537341886679,0.7155743044231222
2059,3,0.7980761140155586,0.8010931662691545,0.003017052253595942,0.5675399234986453,0.7126958260500573
2059,4,0.7872681556957475,0.7904434030951522,0.003175247399404668,0.5736305600726666,0.7274599548517572
2070,0,0.7953084147587886,0.7981889139289585,0.00288049917016997,0.5682268046197718,0.7159314744056273
2070,1,0.782161670063719,0.7841244195214141,0.0019627494576951454,0.5943801912512613,0.7386918725135636
2070,2,0.7892763543104808,0.7918977832779477,0.0026214289674668656,0.5685945766544438,0.7157673254218362
2070,3,0.7980761140155586,0.8018296166189571,0.003753502603398573,0.5663986890729958,0.7113752283390311
2070,4,0.7872681556957475,0.7891445492690221,0.0018763935732746262,0.577591555952272,0.7297109089796887
