contract,fold,model,raw_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,transform_seconds,fit_seconds
competition,0,dummy_mean,62,1064,-0.00036351583219906836,-0.00036351583219906836,-0.00036351583219906836,0.9274524609375001,1.1581890237337193,0.374869100000069,0.0006755000013072276
competition,0,ordinary_least_squares,62,1064,0.5111855996227948,0.4914676472328229,-0.46096117047317997,0.642321019045286,0.8096037637408615,0.374869100000069,1.4295602000001963
competition,0,ridge_fixed,62,1064,0.5841205634445008,0.5673446850668554,-0.24297424121914624,0.5960148927685269,0.7467655007561881,0.374869100000069,0.10570619999998598
competition,0,elastic_net_fixed,62,1064,0.6061103830967809,0.5902215371319146,-0.17725139706214454,0.5809933630511835,0.7267545995245838,0.374869100000069,0.2396636999983457
competition,0,pls_8,62,1064,0.6065247843688815,0.5906526546557199,-0.17601284073674495,0.581047533089862,0.7263721988822114,0.374869100000069,0.17033740000078978
competition,1,dummy_mean,62,1068,-0.0003971141165832748,-0.0003971141165832748,-0.0003971141165832748,0.925468359375,1.1426365978627635,0.11398280000139493,0.0005268000004434725
competition,1,ordinary_least_squares,62,1068,0.3281350547381725,0.30103315063522296,-1.0231865300822265,0.6472603368580558,0.9364032365492213,0.11398280000139493,1.787317800000892
competition,1,ridge_fixed,62,1068,0.6034550723237679,0.5874591155795088,-0.19411551667475524,0.5643746607603175,0.7193961586840473,0.11398280000139493,0.11804930000107561
competition,1,elastic_net_fixed,62,1068,0.6211430174996602,0.6058605627729061,-0.14085181735978036,0.550460034080677,0.7031687519638555,0.11398280000139493,0.2797439000005397
competition,1,pls_8,62,1068,0.6215562899891867,0.6062905059809431,-0.13960733014555649,0.5525089388538307,0.7027851248868893,0.11398280000139493,0.2132300999983272
competition,2,dummy_mean,62,1069,-0.00597889816617192,-0.00597889816617192,-0.00597889816617192,0.9204303515625,1.1394485615481125,0.1682462000007945,0.0005968999994365731
competition,2,ordinary_least_squares,62,1069,0.3485433343830615,0.3222646660237576,-0.9654324685311029,0.6518053447355676,0.9169445109966358,0.1682462000007945,1.7178366000007372
competition,2,ridge_fixed,62,1069,0.5913726665850362,0.5748893258747384,-0.23282095496325872,0.5796979587704066,0.7262129612790506,0.1682462000007945,0.1216043999993417
competition,2,elastic_net_fixed,62,1069,0.6065885169017867,0.5907189580520215,-0.18691502164913776,0.5671076086307569,0.712563881691218,0.1682462000007945,0.2571952999987843
competition,2,pls_8,62,1069,0.6113264028320048,0.5956479623476745,-0.1726209091917439,0.5638155646703679,0.7082601530195946,0.1682462000007945,0.2012295999993512
competition,3,dummy_mean,62,1064,-0.0011643164373302817,-0.0011643164373302817,-0.0011643164373302817,0.9242746875000001,1.149118257417943,0.158275899999353,0.0007636999998794636
competition,3,ordinary_least_squares,62,1064,0.417516087495159,0.3940196642191016,-0.7409192076546556,0.6458117815279135,0.8765042200791594,0.158275899999353,1.1556385000003502
competition,3,ridge_fixed,62,1064,0.6031085951237891,0.5870986620708776,-0.18622309606927323,0.5733414675756013,0.7235155853768545,0.158275899999353,0.10101539999959641
competition,3,elastic_net_fixed,62,1064,0.6147177487425618,0.5991761094595682,-0.15152583132830588,0.5657243042087782,0.7128555665539675,0.158275899999353,0.4916496999994706
competition,3,pls_8,62,1064,0.6120754313077126,0.5964272053747772,-0.15942315016629438,0.5666235480083427,0.7152958194247673,0.158275899999353,0.23251789999994799
competition,4,dummy_mean,62,1054,-0.0018845450197191305,-0.0018845450197191305,-0.0018845450197191305,0.9147795703124999,1.1377261283648463,0.15957689999959257,0.0006951000013941666
competition,4,ordinary_least_squares,62,1054,0.5457288944134612,0.5274043605511545,-0.33280641804197364,0.6143800124543916,0.7661017427407314,0.15957689999959257,1.2059241000006296
competition,4,ridge_fixed,62,1054,0.6100443244526401,0.5943141670785761,-0.14410848660592368,0.573752320029895,0.7098008516869372,0.15957689999959257,0.10613439999906404
