contract,model,penalty,n_knots,degree,alpha,l1_ratio,engineered_feature_count,transformed_width_max,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,oof_adjusted_r2_raw,oof_adjusted_r2_transformed,oof_r2,oof_mae,oof_rmse,control_adjusted_r2_raw,delta_vs_control_adjusted_r2,total_fit_seconds
scientific_proxy_removed,additive_elastic_k3_d3_a0p01,elastic,3,3,0.01,0.9,60,130,0.607430498806822,0.009480097543756024,0.6197302349626395,0.6163474819377804,0.6225826147478928,0.560344455218661,0.7034529673579208,0.6201624354997604,-0.000432200537120897,0.1950901000018348
scientific_proxy_removed,additive_elastic_k4_d3_a0p01,elastic,4,3,0.01,0.9,60,139,0.6070715212770332,0.01037011787046744,0.6193671972991975,0.6155414986460979,0.6222223002073171,0.5611165235355285,0.7037886750874691,0.6201624354997604,-0.00079523820056282,0.13931180000145105
scientific_proxy_removed,additive_elastic_k5_d3_a0p01,elastic,5,3,0.01,0.9,60,148,0.606299077490345,0.009824529314781002,0.6186242319547797,0.6143494812748689,0.6214849077995994,0.561640196623916,0.7044752103519708,0.6201624354997604,-0.0015382035449806875,0.1596347999984573
scientific_proxy_removed,additive_elastic_k3_d3_a0p003,elastic,3,3,0.003,0.9,60,130,0.6062543385481711,0.009040504770406924,0.6185846139201923,0.615191669832559,0.621445586937418,0.5610833546265329,0.7045118005089653,0.6201624354997604,-0.001577821579568095,0.8019677000047523
scientific_proxy_removed,additive_elastic_k4_d3_a0p003,elastic,4,3,0.003,0.9,60,139,0.6057166743072653,0.009857134209500197,0.6180539605338435,0.6142150626817029,0.6209189139490167,0.5619920200398304,0.7050017147129631,0.6201624354997604,-0.002108474965916818,0.23469990000376129
scientific_proxy_removed,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,130,0.6055609772773357,0.009137636638452535,0.6179263490291871,0.6145275492365886,0.6207922596502957,0.5617029518739683,0.7051194784896826,0.6201624354997604,-0.002236086470573273,0.09832559999995283
scientific_proxy_removed,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,121,0.605249968022284,0.009457705325220736,0.6176119334833966,0.614651071328343,0.6204802025159002,0.5614575390045827,0.7054095468227051,0.6201624354997604,-0.0025505020163637537,0.14129379999576486
scientific_proxy_removed,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,130,0.6049033869851362,0.008749429365164823,0.6172825040311416,0.6138779768081374,0.6201532440934158,0.5619433564906611,0.705713338536899,0.6201624354997604,-0.002879931468618757,0.2844102000017301
scientific_proxy_removed,additive_elastic_k5_d3_a0p003,elastic,5,3,0.003,0.9,60,148,0.6048325891769465,0.00940961545145152,0.6171995891079843,0.612908869943738,0.6200709511099247,0.5625870846160397,0.7057897800361161,0.6201624354997604,-0.0029628463917760195,0.352346600004239
scientific_proxy_removed,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,139,0.6047063378073334,0.009987264975776075,0.6170787122143578,0.6132300122480645,0.6199509809063366,0.5629023478476467,0.7059012048673396,0.6201624354997604,-0.0030837232854025176,0.11408669999582344
