fold,model,r2,mae,rmse,fit_seconds
0,lightgbm_fixed,0.738669588151571,0.6429946586351636,0.814692882803354,2.1154032000013103
0,catboost_fixed,0.7409391825996793,0.6420629986600983,0.8111474581774537,1.8763815000020259
1,lightgbm_fixed,0.7079692853468841,0.6779934519136512,0.8591635170319303,1.5498741999981576
1,catboost_fixed,0.7028801852995297,0.6797671357536853,0.8666173295872713,1.6138840000021446
2,lightgbm_fixed,0.722608898328043,0.6542259919327951,0.826379963314174,1.5393250000015541
2,catboost_fixed,0.7181793830605305,0.6608416845946908,0.8329518489207728,1.6261749000004784
3,lightgbm_fixed,0.74586282204104,0.6391453435191718,0.8055888836652764,1.6284931000009237
3,catboost_fixed,0.7412615416766182,0.6495032620564879,0.8128489635105935,1.585961299999326
4,lightgbm_fixed,0.7251826642416357,0.6541035421651722,0.8330680626975391,1.6413981000005151
4,catboost_fixed,0.7160194586882448,0.6658103766688953,0.8468426336100227,1.6483059999991383
