fold,model,r2,mae,rmse,fit_seconds
0,ridge_alpha_0p1,0.7846193197482275,0.5905075933034672,0.7396092226450846,0.19493710000097053
0,ridge_alpha_1p0,0.7846920492387289,0.5904682668438999,0.7394843369225322,0.07397900000069058
0,ridge_alpha_3p0,0.7848324028121225,0.5904059486372742,0.7392432724642166,0.07883379999839235
0,ridge_alpha_10p0,0.7851456985661084,0.5903107443754011,0.7387048871564583,0.07339620000129798
0,ridge_alpha_30p0,0.7851988016411426,0.5909063261129666,0.7386135929050947,0.0718525000011141
0,ridge_alpha_100p0,0.7822083207037945,0.5955524375741743,0.7437373425158605,0.07648080000217305
0,elastic_alpha_0p001_l1_0p1,0.7851800483550606,0.5901207027992956,0.7386458346472379,0.2769795999993221
0,elastic_alpha_0p001_l1_0p5,0.785678605746451,0.5894170644409722,0.7377882065492417,0.19628919999740901
0,elastic_alpha_0p001_l1_0p9,0.785968790369583,0.5889799634396832,0.7372885660164573,0.20023519999813288
0,elastic_alpha_0p005_l1_0p1,0.7855629508341061,0.590430960402915,0.7379872471587781,0.13201310000295052
0,elastic_alpha_0p005_l1_0p5,0.7858838847815253,0.5896424780357136,0.7374347916821008,0.10912520000056247
0,elastic_alpha_0p005_l1_0p9,0.7856322022737183,0.589496841244832,0.7378680727756386,0.1737600000014936
0,elastic_alpha_0p01_l1_0p1,0.7845084172240215,0.5922261132964666,0.7397996157050487,0.10698920000140788
0,elastic_alpha_0p01_l1_0p5,0.783991875428731,0.5918076971800956,0.7406857493794506,0.09524029999738559
0,elastic_alpha_0p01_l1_0p9,0.7815532783033771,0.5946145623991659,0.7448549557517871,0.13459850000072038
1,ridge_alpha_0p1,0.7690489821608477,0.614453374119824,0.7640495104885386,0.07896230000187643
1,ridge_alpha_1p0,0.7689995960754701,0.6145080395179413,0.7641311975010439,0.08761089999825344
1,ridge_alpha_3p0,0.7688828016604488,0.6146366267789923,0.7643243464669347,0.09300609999991138
1,ridge_alpha_10p0,0.7684166188559168,0.6151421045547103,0.7650948113473016,0.0888710999970499
1,ridge_alpha_30p0,0.7668377777236929,0.6168825979223065,0.7676984336161625,0.07573759999650065
1,ridge_alpha_100p0,0.7605943188133607,0.6240697443797351,0.7779089848150177,0.08063559999936842
1,elastic_alpha_0p001_l1_0p1,0.7687947406410702,0.614699227671399,0.7644699452613789,0.1960462999995798
1,elastic_alpha_0p001_l1_0p5,0.7691363930683989,0.614201139558968,0.7639049071386511,0.17771279999942635
1,elastic_alpha_0p001_l1_0p9,0.7693600084243156,0.613821995966534,0.7635348569292533,0.19647659999827738
1,elastic_alpha_0p005_l1_0p1,0.767142532759381,0.6163874856977034,0.7671965588684371,0.11886630000299192
1,elastic_alpha_0p005_l1_0p5,0.7676847331006508,0.6154667842204897,0.7663028433509487,0.10444210000059684
1,elastic_alpha_0p005_l1_0p9,0.767054165035872,0.6160409092039076,0.7673421178308519,0.16067689999908907
1,elastic_alpha_0p01_l1_0p1,0.7645011472102952,0.6194473267570296,0.7715355813004334,0.09633810000013909
1,elastic_alpha_0p01_l1_0p5,0.7639753944980553,0.6199531938808067,0.7723963302494313,0.08815820000017993
1,elastic_alpha_0p01_l1_0p9,0.7621815146413,0.6219941300234819,0.7753260320551548,0.12531899999885354
2,ridge_alpha_0p1,0.772840452327885,0.5961161317004385,0.747823336382506,0.063970999999583
2,ridge_alpha_1p0,0.7727972220005777,0.5961744699500047,0.7478944914582574,0.07168709999677958
2,ridge_alpha_3p0,0.7726914582657174,0.5962982119211101,0.7480685450331899,0.06769060000078753
2,ridge_alpha_10p0,0.7722446349096317,0.5967419086223815,0.7488034281010891,0.07217730000047595
2,ridge_alpha_30p0,0.7706602302654676,0.5985028037881809,0.7514034797649765,0.06733680000252207
2,ridge_alpha_100p0,0.7643750657693856,0.6055503199114932,0.7616301698159302,0.07027129999914905
2,elastic_alpha_0p001_l1_0p1,0.7725782465895805,0.596338433954843,0.7482548106939326,0.22424020000107703
2,elastic_alpha_0p001_l1_0p5,0.7728232167516246,0.5959524912099163,0.7478517061380275,0.1913606999987678
2,elastic_alpha_0p001_l1_0p9,0.772967603504455,0.595750814756868,0.7476140123020822,0.20065519999843673
2,elastic_alpha_0p005_l1_0p1,0.7708245575046412,0.5981667116435804,0.7511342325564186,0.11326980000012554
2,elastic_alpha_0p005_l1_0p5,0.7713299087045052,0.5979314683263001,0.7503056183129062,0.10287850000167964
2,elastic_alpha_0p005_l1_0p9,0.7709949268413265,0.5989896070075612,0.7508549835415025,0.16401930000210996
2,elastic_alpha_0p01_l1_0p1,0.7680684138585552,0.6015493280012738,0.7556374346246401,0.10589970000000903
2,elastic_alpha_0p01_l1_0p5,0.7679063306392595,0.6029235342687805,0.7559014235873068,0.09012569999686093
2,elastic_alpha_0p01_l1_0p9,0.7653662275084617,0.6061736326358133,0.7600265741800523,0.1281142000007094
3,ridge_alpha_0p1,0.7804826624714358,0.5966416748181667,0.7487102461842315,0.0723985000004177
3,ridge_alpha_1p0,0.7806273127668144,0.5964259659533822,0.7484635253408007,0.06376249999811989
3,ridge_alpha_3p0,0.780918264694463,0.5959884313009138,0.7479670205988221,0.06984010000087437
3,ridge_alpha_10p0,0.7816772945506728,0.5947381163063143,0.7466701943452483,0.06671280000227853
3,ridge_alpha_30p0,0.7825882120003592,0.5929194449523036,0.7451108836638556,0.07074310000098194
3,ridge_alpha_100p0,0.7810755859793422,0.5942125334395085,0.7476984170457093,0.06730759999845759
3,elastic_alpha_0p001_l1_0p1,0.7814217207784112,0.5952580744826192,0.7471071014986672,0.25029539999741246
3,elastic_alpha_0p001_l1_0p5,0.7817231635453527,0.5950027500668709,0.7465917535568838,0.1715654999970866
3,elastic_alpha_0p001_l1_0p9,0.7818768276470578,0.5947692335911328,0.7463289117655976,0.1966750999999931
3,elastic_alpha_0p005_l1_0p1,0.7827176375214131,0.5928334198447639,0.7448890679065423,0.111987100000988
3,elastic_alpha_0p005_l1_0p5,0.7833700021561876,0.5922124573645896,0.7437700065810062,0.10447439999916242
3,elastic_alpha_0p005_l1_0p9,0.783448486503741,0.5922979413437875,0.7436352616416149,0.1683524000000034
3,elastic_alpha_0p01_l1_0p1,0.7826021812816266,0.5924042892642054,0.7450869456087796,0.11479569999937667
3,elastic_alpha_0p01_l1_0p5,0.7823405286502624,0.5941454054906042,0.7455351914475498,0.09268730000258074
3,elastic_alpha_0p01_l1_0p9,0.7802527925014028,0.5969506997857077,0.7491021536565464,0.1322050999988278
4,ridge_alpha_0p1,0.7800476027504925,0.5932544702588514,0.7452856729243917,0.07585979999930714
4,ridge_alpha_1p0,0.7799873990273419,0.5933377200308869,0.7453876629526937,0.07163159999981872
4,ridge_alpha_3p0,0.7798487396724431,0.593528384405303,0.7456225101676273,0.06749009999839473
4,ridge_alpha_10p0,0.7793273811659036,0.5941597848626198,0.7465048734118604,0.07248710000203573
4,ridge_alpha_30p0,0.7777121863317015,0.59570263659738,0.7492318825698189,0.077335400001175
4,ridge_alpha_100p0,0.7716735542487565,0.6028440170482395,0.7593404422477733,0.0708344999984547
4,elastic_alpha_0p001_l1_0p1,0.7797471898360085,0.5934830710726897,0.7457944581142355,0.21623399999953108
4,elastic_alpha_0p001_l1_0p5,0.7802409967044831,0.5922068147757514,0.7449579532873036,0.17931049999970128
4,elastic_alpha_0p001_l1_0p9,0.7806484888450124,0.5910615225136818,0.7442669568785947,0.19640810000055353
4,elastic_alpha_0p005_l1_0p1,0.7780956729493583,0.5944222261673778,0.7485853234475607,0.1128002999976161
4,elastic_alpha_0p005_l1_0p5,0.7794281636090624,0.5908104749551706,0.7463343874282616,0.10328020000088145
4,elastic_alpha_0p005_l1_0p9,0.7794099811045491,0.59014765358235,0.7463651482655044,0.1540653999982169
4,elastic_alpha_0p01_l1_0p1,0.7756157530838869,0.597015051163927,0.7527566564812378,0.10251549999884446
4,elastic_alpha_0p01_l1_0p5,0.7759267574071355,0.5948671646089627,0.7522348022170835,0.08645820000310778
4,elastic_alpha_0p01_l1_0p9,0.7730640827680042,0.598346202529914,0.7570246853955444,0.12767359999998007
