contract,fold,model,penalty,n_knots,degree,alpha,l1_ratio,source_feature_count,spline_feature_count,engineered_feature_count,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
competition_proxy_inclusive,0,additive_ridge_k3_d2_a0p3,ridge,3,2,0.3,0.0,60,12,62,129,0.9802854916298269,1.3734564470389217,1.707861321588193,0.14088989999982005,0.010722099999838974
competition_proxy_inclusive,0,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,12,62,129,0.9802720918431775,1.3737119360714203,1.7084416325334495,0.14088989999982005,0.010401999999885447
competition_proxy_inclusive,0,additive_ridge_k3_d2_a3,ridge,3,2,3.0,0.0,60,12,62,129,0.9802240781709104,1.3753087013777832,1.7105193669405485,0.14088989999982005,0.008551400000214926
competition_proxy_inclusive,0,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,12,62,129,0.9801924244581606,1.3774872453457763,1.7118877643379506,0.14088989999982005,0.20409599999993588
competition_proxy_inclusive,0,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,12,62,129,0.9796277820261786,1.3952332852025036,1.7361161798106368,0.14088989999982005,0.027678699999796663
competition_proxy_inclusive,0,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,60,12,62,141,0.9803718609338774,1.371220771142935,1.7041161430946166,0.08629610000025423,0.011119300000245858
competition_proxy_inclusive,0,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,12,62,141,0.980361734501517,1.371764268986536,1.7045556751266753,0.08629610000025423,0.009832899999764777
competition_proxy_inclusive,0,additive_ridge_k4_d2_a3,ridge,4,2,3.0,0.0,60,12,62,141,0.980310709217681,1.3738131749438616,1.706768676429183,0.08629610000025423,0.01018309999972189
competition_proxy_inclusive,0,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9802897943283527,1.376357813981398,1.7076749407450922,0.08629610000025423,0.13180510000029244
competition_proxy_inclusive,0,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,12,62,141,0.9795326376852943,1.4001602855866606,1.7401655478521185,0.08629610000025423,0.04166910000003554
competition_proxy_inclusive,1,additive_ridge_k3_d2_a0p3,ridge,3,2,0.3,0.0,60,12,62,129,0.9803843325845143,1.3446169174997267,1.7092478251096392,0.07586910000009084,0.009251800000129151
competition_proxy_inclusive,1,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,12,62,129,0.980384827510711,1.3447643688428121,1.7092262618142529,0.07586910000009084,0.008911599999919417
competition_proxy_inclusive,1,additive_ridge_k3_d2_a3,ridge,3,2,3.0,0.0,60,12,62,129,0.9803698027419088,1.34578681046998,1.7098807504148381,0.07586910000009084,0.009336000000075728
competition_proxy_inclusive,1,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,12,62,129,0.9804538162308193,1.3441715619929375,1.706217845828282,0.07586910000009084,0.20434789999990244
competition_proxy_inclusive,1,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,12,62,129,0.980027784871668,1.3642611740710016,1.7247120948184425,0.07586910000009084,0.034592800000154966
competition_proxy_inclusive,1,additive_ridge_k4_d2_a0p3,ridge,4,2,0.3,0.0,60,12,62,141,0.9805074948598184,1.3405442068134141,1.7038733881398225,0.07783259999996517,0.01010180000002947
competition_proxy_inclusive,1,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,12,62,141,0.9805110852389279,1.3409021502360503,1.703716460307757,0.07783259999996517,0.009581300000263582
competition_proxy_inclusive,1,additive_ridge_k4_d2_a3,ridge,4,2,3.0,0.0,60,12,62,141,0.9804955536228056,1.342600470544876,1.7043952102631803,0.07783259999996517,0.010449000000335218
competition_proxy_inclusive,1,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,12,62,141,0.9805669074834747,1.341026467385599,1.701274726674811,0.07783259999996517,0.26309820000005857
