contract,model,family,component_count,engineered_feature_count,transformed_width_max,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,oof_adjusted_r2_raw,oof_adjusted_r2_components,oof_r2,oof_mae,oof_rmse,control_adjusted_r2_raw,delta_vs_control_adjusted_r2,total_fit_seconds
scientific_proxy_removed,pcr_80,pcr,80,60,103,0.603579609379476,0.010318728679483758,0.615995651952933,0.6150258215499855,0.6188760446123684,0.5633476399976702,0.7068987906983215,0.6201624354997604,-0.004166783546827313,0.08418230000097537
scientific_proxy_removed,pls_16,pls,16,60,103,0.6032371095182464,0.009583836135474432,0.6156511246437559,0.6177695451016882,0.6185341015810448,0.5631930635743845,0.7072158331183056,0.6201624354997604,-0.004511310856004425,0.34509560000515194
scientific_proxy_removed,pls_12,pls,12,60,103,0.6030836176856431,0.010252377006697755,0.6155053865250971,0.6178161091301798,0.6183894566349226,0.5634377769270552,0.7073499021153244,0.6201624354997604,-0.004657048974663236,0.24934799999755342
scientific_proxy_removed,pls_32,pls,32,60,103,0.602815887308635,0.00902452888691474,0.6152446187027862,0.6165968404520422,0.6181306448157795,0.5634717877999074,0.7075897270999972,0.6201624354997604,-0.004917816796974117,0.6062017999975069
scientific_proxy_removed,pls_24,pls,24,60,103,0.6028105001753723,0.008976261908914002,0.6152407179901471,0.616977562397966,0.6181267733621426,0.5634473300630273,0.7075933139207805,0.6201624354997604,-0.004921717509613233,0.4785303000026033
scientific_proxy_removed,pls_8,pls,8,60,103,0.5981251946994119,0.010861416531492212,0.6107107553744522,0.6132439853482388,0.6136307897134362,0.5671690981590748,0.7117465493779288,0.6201624354997604,-0.00945168012530817,0.18131540000103996
scientific_proxy_removed,pls_6,pls,6,60,103,0.5911846635219924,0.013367625798376817,0.6040075511549577,0.6066828410633316,0.6069778658106275,0.5711525690303018,0.7178482070706356,0.6201624354997604,-0.01615488434480261,0.13998209999408573
scientific_proxy_removed,pcr_64,pcr,64,60,103,0.5654635126335255,0.016186948870236705,0.5791099569159712,0.5788977880221671,0.582267026872846,0.5898725265049652,0.7400711826230612,0.6201624354997604,-0.04105247858378913,0.07194679999156506
scientific_proxy_removed,pls_4,pls,4,60,103,0.5645262124911815,0.016962007817928292,0.5782311527262387,0.5811853810498573,0.5813948145385185,0.5906350489932147,0.7408434015540972,0.6201624354997604,-0.04193128277352165,0.10688700000173412
scientific_proxy_removed,pcr_48,pcr,48,60,103,0.5568654003722496,0.014170249877451972,0.5707816610622987,0.571429456316638,0.5740012010468295,0.5949956833170865,0.7473573371194286,0.6201624354997604,-0.049380774437461694,0.06526200000371318
scientific_proxy_removed,pls_2,pls,2,60,103,0.5221984305516253,0.011813432366275613,0.5371981341208496,0.5405547063630644,0.540669582045934,0.6179472859254111,0.7760446663046575,0.6201624354997604,-0.08296430137891075,0.06845130000147037
scientific_proxy_removed,pcr_32,pcr,32,60,103,0.5166640213360401,0.015800218741044703,0.5318742504498271,0.533519477133322,0.5353856324942089,0.6213427913491146,0.7804955530750197,0.6201624354997604,-0.0882881850499333,0.06210319999809144
scientific_proxy_removed,pcr_24,pcr,24,60,103,0.515514348665292,0.015537098119129223,0.5307750244814571,0.5328931560323872,0.5342946517512549,0.6219024522363806,0.781411373161275,0.6201624354997604,-0.08938741101830328,0.05484190000061062
scientific_proxy_removed,pcr_16,pcr,16,60,103,0.5027187133836023,0.013089867211203697,0.5183700132299814,0.521024619194892,0.5219826897153172,0.6302508616913561,0.7916731705155793,0.6201624354997604,-0.10179242226977891,0.0545559000056528
scientific_proxy_removed,pcr_8,pcr,8,60,103,0.48153976873998194,0.010258423183172176,0.49783870661505747,0.5011064312122314,0.5016053871505115,0.6437930963479519,0.808371111515982,0.6201624354997604,-0.12232372888470289,0.06134779999774764
