contract,family,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width_max,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,control_oof_r2,delta_vs_fixed_elastic_r2,total_fit_seconds,material_improvement
competition_proxy_inclusive,elastic_net,elastic_a0p003_l1_0p9,0.003,0.9,60,62,105,0.9796595948416252,0.0009461341192701428,0.9796625561007233,1.3818743880364188,1.7466177942717458,0.9796213695740751,4.118652664819589e-05,0.1280312000003505,False
scientific_proxy_removed,elastic_net,elastic_a0p01_l1_0p9,0.01,0.9,59,61,104,0.927645129349488,0.0016283823273081444,0.9276701162922294,2.61493418772486,3.2938861173254437,0.9275015979762417,0.00016851831598774236,0.1573332999998911,False
