contract,model,source_feature_count,engineered_feature_count,transformed_width_max,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,oof_adjusted_r2_raw,oof_adjusted_r2_transformed,oof_r2,oof_mae,oof_rmse,control_pls8_adjusted_r2_raw,delta_vs_raw_time_pls8,total_fit_seconds
competition,elastic_net_fixed,62,64,111,0.6026523202186371,0.009945867087937987,0.6158906330925098,0.613601948984415,0.6189638921851564,0.5627867102452274,0.7068173173076862,0.6131134830550493,0.002777150037460485,0.15805570000156877
competition,ridge_fixed,62,64,111,0.6011914807356522,0.00965661617737614,0.6144790166266436,0.6121819215178013,0.6175635700628099,0.5638242609923796,0.7081149164202368,0.6131134830550493,0.0013655335715943018,0.03897330000290822
competition,pls_8,62,64,111,0.5955838019213104,0.010123828743871702,0.609072237985132,0.6067429270299216,0.612200051057885,0.5683227140413146,0.7130631427992324,0.6131134830550493,-0.004041245069917321,0.12337119999938295
scientific_proxy_removed,elastic_net_fixed,58,60,103,0.6042233204145091,0.009618555803901373,0.616607643898979,0.6145197675929578,0.6194834460450049,0.5624409468504321,0.7063352699040525,0.6148622197297682,0.001745424169210863,0.12620780000179366
scientific_proxy_removed,ridge_fixed,58,60,103,0.603041598500057,0.009269414948687866,0.6154643998348446,0.613370297655627,0.6183487773832768,0.5633011243957373,0.707387602459798,0.6148622197297682,0.0006021801050763997,0.030465200001344783
scientific_proxy_removed,pls_8,58,60,103,0.5981251946994119,0.010861416531492212,0.6107107553744522,0.6085907658203871,0.6136307897134362,0.5671690981590748,0.7117465493779288,0.6148622197297682,-0.0041514643553159924,0.11324670000249171
