fold,model,r2,mae,rmse,fit_seconds
0,dummy_mean,-0.0025435722610755995,1.2651331250000002,1.595697535562426,0.321751100000256
0,ridge,0.7851456985661084,0.5903107443754011,0.7387048871564583,0.14154259999850183
0,elastic_net,0.7845875552972554,0.5919158165411165,0.7396637596043127,0.17718339999919408
0,extra_trees,0.645239399262531,0.7421701041666666,0.9492194677650592,4.073756699999649
1,dummy_mean,-0.0021209063750649015,1.2896619921875,1.5915548954879195,0.11763669999891135
1,ridge,0.7684166188559168,0.6151421045547103,0.7650948113473016,0.09481450000021141
1,elastic_net,0.7647620964337766,0.6191513547539296,0.7711080050898791,0.14934999999968568
1,extra_trees,0.6036184948033413,0.7820737152777775,1.0009635264806214,3.4621034000010695
2,dummy_mean,-0.000878291892869365,1.25841984375,1.5697270811752595,0.13694220000070345
2,ridge,0.7722446349096317,0.5967419086223815,0.7488034281010891,0.13106270000025688
2,elastic_net,0.7683201513536813,0.6015534354761553,0.755227240560925,0.17993609999939508
2,extra_trees,0.6036286344790641,0.7807296180555555,0.9878355520937299,4.509690000000774
3,dummy_mean,-0.00022497385221864619,1.2939317578125002,1.5981892686651862,0.14688049999858777
3,ridge,0.7816772945506728,0.5947381163063143,0.7466701943452483,0.13601349999953527
3,elastic_net,0.7827101109655097,0.5927855271746093,0.7449019690932679,0.1723744999999326
3,extra_trees,0.6404054423793379,0.7587145486111111,0.9582656447341209,4.051352099999349
4,dummy_mean,-9.360809419867167e-05,1.272705625,1.5892007031838362,0.13095780000003288
4,ridge,0.7793273811659036,0.5941597848626198,0.7465048734118604,0.12175019999995129
4,elastic_net,0.7761017633636973,0.5956388455528355,0.751940989167082,0.17628070000137086
4,extra_trees,0.6062855760375938,0.7873160069444447,0.9971238073855301,3.815609499999482
