contract,model,family,gamma,kernel_components,ridge_alpha,engineered_feature_count,preprocessed_width_max,fold_adjusted_r2_raw_mean,fold_adjusted_r2_raw_std,oof_adjusted_r2_raw,oof_adjusted_r2_kernel_components,oof_r2,oof_mae,oof_rmse,control_adjusted_r2_raw,delta_vs_control_adjusted_r2,total_kernel_map_seconds,total_fit_seconds
scientific_proxy_removed,nystroem_g0p003_c256_a1,nystroem,0.003,256,1.0,60,103,0.593339691292063,0.012469720366934419,0.6060840555380826,0.5961127879267516,0.6090387944639127,0.5710007043784003,0.7159636077379845,0.6201624354997604,-0.014078379961677712,0.249363999999332,0.07672090000050957
scientific_proxy_removed,nystroem_g0p001_c256_a1,nystroem,0.001,256,1.0,60,103,0.5867523529972781,0.013130891926635137,0.5997212184856833,0.5895888871958982,0.6027236846553119,0.5752326354337599,0.7217228448165128,0.6201624354997604,-0.020441217014077084,0.2607797999989998,0.0779229999970994
scientific_proxy_removed,nystroem_g0p003_c128_a1,nystroem,0.003,128,1.0,60,103,0.5849582529121682,0.013223034220513921,0.5979589850249278,0.5944856285240632,0.6009746695978124,0.5766559132881879,0.7233097980223785,0.6201624354997604,-0.02220345047483252,0.13615970000319066,0.0476031000034709
scientific_proxy_removed,rbf_sampler_g0p003_c512_a1,rbf_sampler,0.003,512,1.0,60,103,0.5841962118231205,0.015087113486957973,0.5971995162696598,0.5728819232890116,0.6002208975703,0.576344723045062,0.7239926537386835,0.6201624354997604,-0.02296291923010052,0.2487955000033253,0.17643200000020443
scientific_proxy_removed,nystroem_g0p001_c128_a1,nystroem,0.001,128,1.0,60,103,0.5817777272569528,0.013287351375442055,0.5949008207402207,0.5914010438135703,0.597939444412628,0.5787100228463471,0.7260555498022421,0.6201624354997604,-0.025261614759539697,0.16458450000209268,0.04598349999287166
scientific_proxy_removed,rbf_sampler_g0p001_c512_a1,rbf_sampler,0.001,512,1.0,60,103,0.5813455725687524,0.014933932550012902,0.5944630139704286,0.5699802147604158,0.5975049216041046,0.5793905182315151,0.726447782387944,0.6201624354997604,-0.0256994215293318,0.21495380000487785,0.17251510000278358
scientific_proxy_removed,nystroem_g0p01_c256_a1,nystroem,0.01,256,1.0,60,103,0.5771050939650118,0.013039526436612114,0.5903508525370409,0.5799813274301393,0.5934236052371007,0.5818736810386358,0.7301215976602259,0.6201624354997604,-0.029811582962719463,0.2591615999954229,0.08013539999956265
scientific_proxy_removed,rbf_sampler_g0p003_c256_a1,rbf_sampler,0.003,256,1.0,60,103,0.5765050831269241,0.013989419594307004,0.5897640828191273,0.579379704701156,0.5928412368422367,0.5813301490280876,0.7306443131896111,0.6201624354997604,-0.030398352680633067,0.13097019999986514,0.07313250000152038
scientific_proxy_removed,rbf_sampler_g0p001_c256_a1,rbf_sampler,0.001,256,1.0,60,103,0.575305311686318,0.014744814185209903,0.588602355099854,0.5781885699519231,0.5916882231701139,0.5821946752737818,0.7316781203714551,0.6201624354997604,-0.03156008039990632,0.11281789999338798,0.07564220000131172
scientific_proxy_removed,nystroem_g0p01_c128_a1,nystroem,0.01,128,1.0,60,103,0.5641016986230865,0.014450042916247236,0.5777389017468596,0.574090857701476,0.5809062559030277,0.5905511344300611,0.7412755986552281,0.6201624354997604,-0.042423533752900755,0.14003349999984493,0.047186000003421213
scientific_proxy_removed,nystroem_g0p003_c256_a10,nystroem,0.003,256,10.0,60,103,0.5493383742739472,0.01456200041288349,0.5634993669607979,0.5524501452023474,0.5667735309790943,0.6006958439121786,0.7536706564703639,0.6201624354997604,-0.05666306853896241,0.249363999999332,0.07307059999584453
scientific_proxy_removed,rbf_sampler_g0p01_c512_a1,rbf_sampler,0.01,512,1.0,60,103,0.5490917567292655,0.019146417825690293,0.5631514313279145,0.53677831084711,0.5664282051896878,0.5993811358952486,0.753970972921258,0.6201624354997604,-0.0570110041718459,0.25175790000139386,0.16554059999907622
scientific_proxy_removed,nystroem_g0p01_c256_a10,nystroem,0.01,256,10.0,60,103,0.5464588482878006,0.01594075538938977,0.5606775759749063,0.5495569256960844,0.5639729060713565,0.6018595549763943,0.7561028122502074,0.6201624354997604,-0.05948485952485405,0.2591615999954229,0.07370659999651252
scientific_proxy_removed,rbf_sampler_g0p003_c512_a10,rbf_sampler,0.003,512,10.0,60,103,0.5445731319219638,0.015705299100338275,0.5588629592816292,0.5322309381243293,0.5621719007046948,0.6047165561664933,0.7576627404858002,0.6201624354997604,-0.061299476218131144,0.2487955000033253,0.17213769999943906
scientific_proxy_removed,nystroem_g0p003_c128_a10,nystroem,0.003,128,10.0,60,103,0.5427767816242538,0.014948367097770825,0.5571379225075744,0.5533119002398212,0.5604598033238697,0.60517659197324,0.7591426897206033,0.6201624354997604,-0.06302451299218592,0.13615970000319066,0.042980800000805175
scientific_proxy_removed,rbf_sampler_g0p003_c256_a10,rbf_sampler,0.003,256,10.0,60,103,0.5410361752838233,0.017330299546453373,0.5554141431223247,0.5441602585881617,0.5587489539002546,0.6053599893100401,0.760618683801908,0.6201624354997604,-0.06474829237743562,0.13097019999986514,0.07538770000246586
scientific_proxy_removed,rbf_sampler_g0p01_c512_a10,rbf_sampler,0.01,512,10.0,60,103,0.5399864720781682,0.019354739647941942,0.5543840987589677,0.527481682923393,0.5577266358354099,0.607395469915838,0.7614992985381505,0.6201624354997604,-0.0657783367407927,0.25175790000139386,0.16865370000596158
scientific_proxy_removed,rbf_sampler_g0p01_c256_a1,rbf_sampler,0.01,256,1.0,60,103,0.5365152807555337,0.016490866241141794,0.551025151320136,0.539660167419677,0.5543928836517764,0.6064356440281039,0.7643639114272314,0.6201624354997604,-0.06913728417962439,0.13888049999877694,0.08093520000693388
scientific_proxy_removed,nystroem_g0p01_c128_a10,nystroem,0.01,128,10.0,60,103,0.5360187042920479,0.01665651210896156,0.5505643630416048,0.5466815497633465,0.5539355517173772,0.6090158842984876,0.7647560487696425,0.6201624354997604,-0.06959807245815552,0.14003349999984493,0.0468972999988182
scientific_proxy_removed,rbf_sampler_g0p01_c256_a10,rbf_sampler,0.01,256,10.0,60,103,0.529317014128516,0.01837389876725983,0.5440521154803881,0.5325106218260107,0.547472152118865,0.6118324083897942,0.7702767162229595,0.6201624354997604,-0.07611032001937224,0.13888049999877694,0.07343129999935627
scientific_proxy_removed,nystroem_g0p001_c256_a10,nystroem,0.001,256,10.0,60,103,0.5206926167659199,0.01324001889200787,0.5357785494412565,0.5240276254699903,0.5392606455824647,0.6203219924065266,0.7772339631643583,0.6201624354997604,-0.08438388605850389,0.2607797999989998,0.06900029999451363
scientific_proxy_removed,nystroem_g0p001_c128_a10,nystroem,0.001,128,10.0,60,103,0.5179783019301534,0.013309140588732768,0.5331455993608951,0.529112300003322,0.5366474450964054,0.6220966076030882,0.7794349867573962,0.6201624354997604,-0.08701683613886524,0.16458450000209268,0.04674470000099973
scientific_proxy_removed,rbf_sampler_g0p001_c256_a10,rbf_sampler,0.001,256,10.0,60,103,0.5146929793093497,0.01689565460213695,0.5299079546034646,0.5180084271725307,0.533434085710327,0.623606299203789,0.782133015855503,0.6201624354997604,-0.09025448089629573,0.11281789999338798,0.08021950000329525
