model,fold_r2_mean,fold_r2_std,oof_r2,oof_mae,oof_rmse,delta_vs_control_r2,total_fit_seconds
lightgbm_residual_w0p75,0.7934004663552674,0.006513315973915803,0.7935867590718252,0.5743946660285861,0.721730891558355,0.0029843632462289715,1.3350047000021732
lightgbm_residual_w0p5,0.7930855185756253,0.006453537337223902,0.7932699979594435,0.5752500886248922,0.7222844622445186,0.0026676021338473133,1.3350047000021732
lightgbm_residual_w1p0,0.7930362537190823,0.00658221224602484,0.7932254935478456,0.5744905780637989,0.7223622040208653,0.0026230977222493346,1.3350047000021732
lightgbm_residual_w0p25,0.7920914103801557,0.0064025646803025004,0.7922752102107006,0.5769850104166708,0.7240201982739073,0.0016728143851043598,1.3350047000021732
ridge_residual_w0p5,0.7909790558115063,0.006161789530230641,0.7911653257784749,0.5787518092465921,0.725951860389712,0.0005629299528786547,0.2857048999994731
ridge_residual_w0p75,0.7908584151491838,0.00610922455736578,0.7910457774640154,0.5789456288297656,0.72615961780563,0.00044338163841917133,0.2857048999994731
ridge_residual_w0p25,0.7908322980180646,0.006247768929527844,0.7910175318990018,0.5789651840093114,0.7262086957695782,0.00041513607340559755,0.2857048999994731
ridge_residual_w1p0,0.790470376031097,0.006094423615681022,0.7906588869556233,0.5795593804383162,0.7268315696200569,5.649113002703654e-05,0.2857048999994731
base_spline,0.7904181417688589,0.006363071678166522,0.7906023958255962,0.5796175496157742,0.7269296315021299,0.0,0.5025499999992462
