fold,model,penalty,n_knots,degree,alpha,l1_ratio,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,transform_seconds,fit_seconds
0,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,121,0.6063146343836576,0.5909662770496871,0.5740846416640517,0.5823138609007261,0.726566145952487,0.21101439999983995,0.014865500001178589
0,additive_ridge_k3_d2_a10,ridge,3,2,10.0,0.0,60,121,0.6077429663802814,0.5924502945042689,0.5756299074709539,0.5812982410437835,0.7252469190167476,0.21101439999983995,0.01348399999915273
0,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,121,0.6133376563147557,0.5982631010053894,0.5816826200590625,0.5769115271354129,0.720056312664735,0.21101439999983995,0.029823700002452824
0,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,121,0.6147486158445712,0.5997290687040087,0.5832090911606693,0.5749548912653384,0.7187413425550067,0.21101439999983995,0.02051480000227457
0,additive_ridge_k3_d3_a1,ridge,3,3,1.0,0.0,60,130,0.6071283036632169,0.5918116683284496,0.5723608969077494,0.5812408351094909,0.7258149238021854,0.11041730000215466,0.013566400000854628
0,additive_ridge_k3_d3_a10,ridge,3,3,10.0,0.0,60,130,0.6084221680544459,0.5931559757758669,0.5737692625725386,0.580251912170297,0.724618756490285,0.11041730000215466,0.01471980000133044
0,additive_elastic_k3_d3_a0p003,elastic,3,3,0.003,0.9,60,130,0.6137155695342758,0.5986557476837602,0.5795311066612028,0.5769498916461081,0.7197043449509347,0.11041730000215466,0.1886945000005653
0,additive_elastic_k3_d3_a0p01,elastic,3,3,0.01,0.9,60,130,0.6158985407000019,0.6009238249378188,0.5819072611159313,0.5761009767520028,0.7176678665883324,0.11041730000215466,0.0473498000028485
0,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,130,0.6067517181376711,0.5914204011060015,0.5719509852295005,0.5814077673278361,0.7261627039149852,0.12318650000088383,0.014133100001345156
0,additive_ridge_k4_d2_a10,ridge,4,2,10.0,0.0,60,130,0.6083266564410488,0.5930567405128246,0.5736652986039734,0.5803765313285625,0.7247071237075964,0.12318650000088383,0.014374899998074397
0,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,130,0.6135341150708018,0.5984672189721976,0.5793335942806073,0.5767785437952148,0.7198733631959342,0.12318650000088383,0.0744568000009167
0,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,130,0.6152093471873042,0.6002077622823259,0.5811570770268887,0.5761362369885898,0.7183114340027517,0.12318650000088383,0.02008930000010878
0,additive_ridge_k4_d3_a1,ridge,4,3,1.0,0.0,60,139,0.6052150721160108,0.5898238468573757,0.5676293837763706,0.5831332593323268,0.7275800872006124,0.1307051000003412,0.01707640000313404
0,additive_ridge_k4_d3_a10,ridge,4,3,10.0,0.0,60,139,0.6065284288875895,0.5911884066219986,0.5690677793090793,0.5823050871428346,0.7263688349051518,0.1307051000003412,0.015123699999094242
0,additive_elastic_k4_d3_a0p003,elastic,4,3,0.003,0.9,60,139,0.6118071546148516,0.5966729306232279,0.5748490686501011,0.5790849767526508,0.7214799824892715,0.1307051000003412,0.08051170000180718
0,additive_elastic_k4_d3_a0p01,elastic,4,3,0.01,0.9,60,139,0.6134971471755089,0.5984288098334234,0.5766999577627662,0.5788549480295978,0.719907792582559,0.1307051000003412,0.048313600000255974
0,additive_ridge_k5_d2_a1,ridge,5,2,1.0,0.0,60,139,0.605130849949792,0.5897363411759048,0.5675371431984366,0.5833348212462519,0.7276576928775632,0.15439790000164066,0.01678160000301432
0,additive_ridge_k5_d2_a10,ridge,5,2,10.0,0.0,60,139,0.6063772548146296,0.5910313388229972,0.5689022126360224,0.5825749104125677,0.7265083590767806,0.15439790000164066,0.015092199999344302
0,additive_elastic_k5_d2_a0p003,elastic,5,2,0.003,0.9,60,139,0.6106338149889508,0.5954538467623991,0.5735640206625563,0.5802767129215596,0.7225695212913866,0.15439790000164066,0.06042950000119163
0,additive_elastic_k5_d2_a0p01,elastic,5,2,0.01,0.9,60,139,0.6110936396551768,0.5959315983161975,0.5740676231565944,0.5808275262852249,0.7221427335341246,0.15439790000164066,0.025977299999794923
0,additive_ridge_k5_d3_a1,ridge,5,3,1.0,0.0,60,148,0.6053519222786612,0.5899660323090183,0.5650983623181112,0.5825343036589608,0.727453970324629,0.12919700000202283,0.0156970000025467
0,additive_ridge_k5_d3_a10,ridge,5,3,10.0,0.0,60,148,0.6064474542441652,0.5911042750723978,0.5663056370340595,0.5818098101490875,0.7264435727463829,0.12919700000202283,0.014899999998306157
0,additive_elastic_k5_d3_a0p003,elastic,5,3,0.003,0.9,60,148,0.6112364205754566,0.5960799457440904,0.5715830713302241,0.5793609326923612,0.7220101596295004,0.12919700000202283,0.061935000001540175
0,additive_elastic_k5_d3_a0p01,elastic,5,3,0.01,0.9,60,148,0.6133315709591138,0.5982567784039137,0.5738919241651435,0.5789343765614754,0.7200619788248565,0.12919700000202283,0.02915509999729693
1,additive_ridge_k3_d2_a1,ridge,3,2,1.0,0.0,60,121,0.6233107390900492,0.6086249979239692,0.5924721730750937,0.5509516489183739,0.7011541913361795,0.10784839999905671,0.012375100002827821
1,additive_ridge_k3_d2_a10,ridge,3,2,10.0,0.0,60,121,0.6241369180594647,0.6094833865997947,0.5933659891590555,0.5498799584233452,0.7003848611693879,0.10784839999905671,0.011093699999037199
1,additive_elastic_k3_d2_a0p003,elastic,3,2,0.003,0.9,60,121,0.628606478850451,0.6141271992734705,0.598201461219128,0.5453315928648986,0.6962081078425549,0.10784839999905671,0.028788299998268485
1,additive_elastic_k3_d2_a0p01,elastic,3,2,0.01,0.9,60,121,0.6297295426544604,0.6152940472413788,0.5994164673237362,0.545528421858153,0.6951546725147592,0.10784839999905671,0.018047999998088926
1,additive_ridge_k3_d3_a1,ridge,3,3,1.0,0.0,60,130,0.6223493273554928,0.6076261042504437,0.5889289138471292,0.5518751220862748,0.7020483876482323,0.11481310000090161,0.01411069999812753
1,additive_ridge_k3_d3_a10,ridge,3,3,10.0,0.0,60,130,0.6225358380939823,0.6078198863627535,0.5891319299607064,0.5515155912281938,0.7018750055473515,0.11481310000090161,0.013324699997610878
1,additive_elastic_k3_d3_a0p003,elastic,3,3,0.003,0.9,60,130,0.6278416625295165,0.6133325655521097,0.594907296381686,0.5470303064805654,0.6969245951311926,0.11481310000090161,0.17853690000265487
1,additive_elastic_k3_d3_a0p01,elastic,3,3,0.01,0.9,60,130,0.6302363122979926,0.6158205739860235,0.5975138620588769,0.5449760431702628,0.6946787988674776,0.11481310000090161,0.03736429999844404
1,additive_ridge_k4_d2_a1,ridge,4,2,1.0,0.0,60,130,0.6223416781589661,0.6076181568396276,0.5889205877305561,0.5518809503587877,0.7020554974977374,0.12433140000212006,0.012129700000514276
1,additive_ridge_k4_d2_a10,ridge,4,2,10.0,0.0,60,130,0.6225680642153335,0.6078533688631047,0.5891670079512037,0.5515065128861045,0.7018450435083351,0.12433140000212006,0.012957200000528246
1,additive_elastic_k4_d2_a0p003,elastic,4,2,0.003,0.9,60,130,0.6256793922091162,0.611085996193877,0.5925536747054981,0.548489056902246,0.6989462572728812,0.12433140000212006,0.06879660000049626
1,additive_elastic_k4_d2_a0p01,elastic,4,2,0.01,0.9,60,130,0.6281121795566407,0.6136136290520263,0.5952017529687328,0.5468089336088816,0.6966712563999745,0.12433140000212006,0.017612200001167366
1,additive_ridge_k4_d3_a1,ridge,4,3,1.0,0.0,60,139,0.6214520582260491,0.6066938538683901,0.5854122199338716,0.5529740243487957,0.7028818995030197,0.11219109999728971,0.014023899999301648
1,additive_ridge_k4_d3_a10,ridge,4,3,10.0,0.0,60,139,0.6224197959120072,0.607699320119103,0.5864720915502052,0.5520600886484657,0.7019828844621798,0.11219109999728971,0.013390399999479996
1,additive_elastic_k4_d3_a0p003,elastic,4,3,0.003,0.9,60,139,0.6280753866656191,0.6135754017403021,0.5926661255330993,0.5470033039824799,0.6967057182917668,0.11219109999728971,0.03316300000005867
